run,name,row,job,node,rc,wall_s,slide,site,argo_s,n_tiles
c,lazyslide_224,0,11016460,rodeo,0,448.4,HP1353_21_1.pyramidal.tiff,LASUTH,392.18,4718
c,lazyslide_224,1,11016492,rodeo,0,1350.3,MSI-B985-22.svs,LUTH,1338.987,22076
c,lazyslide_224,2,11016533,smackdown,0,308.7,H1079-22-9.svs,OAUTHC,290.387,5188
c,lazyslide_224,3,11016621,smackdown,0,446.3,H700-22-1.svs,UITH,427.422,7612
c,lazyslide_224,4,11016645,smackdown,0,401.0,T218_1-1.svs,retrospective_msk,380.589,6725
c,lazyslide_224,5,11016683,rodeo,0,287.9,T207-1-1-USS-2.svs,retrospective_oau,276.817,4299
c,lazyslide_224,6,11016695,smackdown,0,839.0,HP2074_21_5.pyramidal.tiff,LASUTH,819.093,14906
c,lazyslide_224,7,11016484,rodeo,0,1361.1,MSI-B985-3-22-.svs,LUTH,1349.058,21675
d,lazyslide_224_amp,0,11016486,rodeo,0,119.6,HP1353_21_1.pyramidal.tiff,LASUTH,109.746,4718
d,lazyslide_224_amp,1,11016492,rodeo,0,476.2,MSI-B985-22.svs,LUTH,464.456,22076
d,lazyslide_224_amp,2,11016533,smackdown,0,138.6,H1079-22-9.svs,OAUTHC,119.154,5188
d,lazyslide_224_amp,3,11016621,smackdown,0,194.7,H700-22-1.svs,UITH,175.379,7612
d,lazyslide_224_amp,4,11016645,smackdown,0,176.0,T218_1-1.svs,retrospective_msk,157.339,6725
d,lazyslide_224_amp,5,11016683,rodeo,0,119.0,T207-1-1-USS-2.svs,retrospective_oau,108.222,4299
d,lazyslide_224_amp,6,11016695,smackdown,0,335.0,HP2074_21_5.pyramidal.tiff,LASUTH,315.394,14906
d,lazyslide_224_amp,7,11016484,rodeo,0,500.9,MSI-B985-3-22-.svs,LUTH,488.684,21675
b,lazyslide_256,0,11016486,rodeo,0,252.0,HP1353_21_1.pyramidal.tiff,LASUTH,239.707,3603
b,lazyslide_256,1,11016492,rodeo,0,1098.8,MSI-B985-22.svs,LUTH,1087.411,16805
b,lazyslide_256,2,11016533,smackdown,0,437.1,H1079-22-9.svs,OAUTHC,249.491,3945
b,lazyslide_256,3,11016621,smackdown,0,372.4,H700-22-1.svs,UITH,353.48,5801
b,lazyslide_256,4,11016645,smackdown,0,335.4,T218_1-1.svs,retrospective_msk,316.085,5123
b,lazyslide_256,5,11016683,rodeo,0,241.8,T207-1-1-USS-2.svs,retrospective_oau,230.11,3263
b,lazyslide_256,6,11016695,smackdown,0,995.4,HP2074_21_5.pyramidal.tiff,LASUTH,976.775,11404
b,lazyslide_256,7,11016484,rodeo,0,1116.0,MSI-B985-3-22-.svs,LUTH,1105.382,16484
e,lazyslide_512,0,11016460,rodeo,0,124.8,HP1353_21_1.pyramidal.tiff,LASUTH,111.71,863
e,lazyslide_512,1,11016492,rodeo,0,384.2,MSI-B985-22.svs,LUTH,371.723,4120
e,lazyslide_512,2,11016533,smackdown,0,205.6,H1079-22-9.svs,OAUTHC,186.796,974
e,lazyslide_512,3,11016621,smackdown,0,163.8,H700-22-1.svs,UITH,144.825,1416
e,lazyslide_512,4,11016645,smackdown,0,148.9,T218_1-1.svs,retrospective_msk,130.384,1254
e,lazyslide_512,5,11016683,rodeo,0,102.1,T207-1-1-USS-2.svs,retrospective_oau,90.908,807
e,lazyslide_512,6,11016695,smackdown,0,268.3,HP2074_21_5.pyramidal.tiff,LASUTH,248.982,2812
e,lazyslide_512,7,11016484,rodeo,0,380.5,MSI-B985-3-22-.svs,LUTH,368.178,3946
a,mussel_hoptimus0,0,11016834,smackdown,0,110.0,HP1353_21_1.pyramidal.tiff,LASUTH,105.811,4884
a,mussel_hoptimus0,1,11016835,smackdown,0,282.7,MSI-B985-22.svs,LUTH,279.39,23931
a,mussel_hoptimus0,2,11016941,smackdown,0,105.0,H1079-22-9.svs,OAUTHC,101.756,5696
a,mussel_hoptimus0,3,11016947,smackdown,0,123.7,H700-22-1.svs,UITH,120.739,8045
a,mussel_hoptimus0,4,11016955,rodeo,0,131.7,T218_1-1.svs,retrospective_msk,114.181,7225
a,mussel_hoptimus0,5,11016965,smackdown,0,92.0,T207-1-1-USS-2.svs,retrospective_oau,89.17,4619
a,mussel_hoptimus0,6,11016978,rodeo,0,195.5,HP2074_21_5.pyramidal.tiff,LASUTH,193.525,15205
a,mussel_hoptimus0,7,11016487,smackdown,0,255.9,MSI-B985-3-22-.svs,LUTH,253.02,21266
e,mussel_titan,0,11016834,smackdown,0,96.4,HP1353_21_1.pyramidal.tiff,LASUTH,93.755,1051
e,mussel_titan,1,11016835,smackdown,0,157.8,MSI-B985-22.svs,LUTH,154.697,4837
e,mussel_titan,2,11016941,smackdown,0,88.3,H1079-22-9.svs,OAUTHC,85.394,1173
e,mussel_titan,3,11016947,smackdown,0,94.4,H700-22-1.svs,UITH,91.407,1566
e,mussel_titan,4,11016955,rodeo,0,84.9,T218_1-1.svs,retrospective_msk,83.09,1487
e,mussel_titan,5,11016965,smackdown,0,80.7,T207-1-1-USS-2.svs,retrospective_oau,77.788,926
e,mussel_titan,6,11016978,rodeo,0,109.0,HP2074_21_5.pyramidal.tiff,LASUTH,107.286,3028
e,mussel_titan,7,11016487,smackdown,0,156.1,MSI-B985-3-22-.svs,LUTH,152.941,4470
