threshold,site,n_bin,n_patients,n_patients_lost,aggregator,auroc
0.0,__overall__,all,217,0.0,mean,0.6591989987484356
0.0,LASUTH,all,13,,mean,0.9333333333333333
0.0,LUTH,all,19,,mean,0.8125
0.0,OAUTHC,all,81,,mean,0.45128676470588236
0.0,UITH,all,10,,mean,0.7916666666666667
0.0,retrospective_msk,all,94,,mean,0.7831081081081082
0.0,__overall__,1,73,,mean,0.6386554621848739
0.0,__overall__,2-3,109,,mean,0.7177942539388322
0.0,__overall__,4-6,17,,mean,0.7333333333333334
0.0,__overall__,7+,18,,mean,0.25
0.0,OAUTHC,1,30,,mean,0.4814814814814815
0.0,OAUTHC,2-3,22,,mean,0.5416666666666667
0.0,OAUTHC,4-6,11,,mean,0.5555555555555556
0.0,OAUTHC,7+,18,,mean,0.25
0.0,__overall__,all,217,0.0,max,0.6444305381727158
0.0,LASUTH,all,13,,max,0.8999999999999999
0.0,LUTH,all,19,,max,0.8333333333333333
0.0,OAUTHC,all,81,,max,0.4264705882352941
0.0,UITH,all,10,,max,0.7916666666666667
0.0,retrospective_msk,all,94,,max,0.8243243243243242
0.0,__overall__,1,73,,max,0.6386554621848739
0.0,__overall__,2-3,109,,max,0.7442075996292863
0.0,__overall__,4-6,17,,max,0.9666666666666667
0.0,__overall__,7+,18,,max,0.375
0.0,OAUTHC,1,30,,max,0.4814814814814815
0.0,OAUTHC,2-3,22,,max,0.5555555555555556
0.0,OAUTHC,4-6,11,,max,0.9444444444444444
0.0,OAUTHC,7+,18,,max,0.375
0.05,__overall__,all,216,1.0,mean,0.6573083217927737
0.05,LASUTH,all,13,,mean,0.9333333333333333
0.05,LUTH,all,18,,mean,0.8
0.05,OAUTHC,all,81,,mean,0.453125
0.05,UITH,all,10,,mean,0.7916666666666667
0.05,retrospective_msk,all,94,,mean,0.7831081081081082
0.05,__overall__,1,72,,mean,0.6320855614973262
0.05,__overall__,2-3,109,,mean,0.7177942539388322
0.05,__overall__,4-6,17,,mean,0.7333333333333334
0.05,__overall__,7+,18,,mean,0.28125
0.05,OAUTHC,1,30,,mean,0.4814814814814815
0.05,OAUTHC,2-3,22,,mean,0.5416666666666667
0.05,OAUTHC,4-6,11,,mean,0.5555555555555556
0.05,OAUTHC,7+,18,,mean,0.28125
0.05,__overall__,all,216,1.0,max,0.6423265768601284
0.05,LASUTH,all,13,,max,0.8999999999999999
0.05,LUTH,all,18,,max,0.8222222222222222
0.05,OAUTHC,all,81,,max,0.4264705882352941
0.05,UITH,all,10,,max,0.7916666666666667
0.05,retrospective_msk,all,94,,max,0.8243243243243242
0.05,__overall__,1,72,,max,0.6320855614973262
0.05,__overall__,2-3,109,,max,0.7442075996292863
0.05,__overall__,4-6,17,,max,0.9666666666666667
0.05,__overall__,7+,18,,max,0.375
0.05,OAUTHC,1,30,,max,0.4814814814814815
0.05,OAUTHC,2-3,22,,max,0.5555555555555556
0.05,OAUTHC,4-6,11,,max,0.9444444444444444
0.05,OAUTHC,7+,18,,max,0.375
0.1,__overall__,all,211,6.0,mean,0.6616600790513834
0.1,LASUTH,all,12,,mean,0.9259259259259259
0.1,LUTH,all,16,,mean,0.7692307692307692
0.1,OAUTHC,all,80,,mean,0.4755859375
0.1,UITH,all,9,,mean,0.75
0.1,retrospective_msk,all,93,,mean,0.7801369863013697
0.1,retrospective_oau,all,1,,mean,
0.1,__overall__,1,70,,mean,0.65625
