cluster,n_slides,n_patients,is_outlier,mean_centroid_dist,mean_wagner_p,median_n_tiles,msih_prevalence,top_site,top_site_pct
-1,123,48,True,4.837432624950103,0.46896184472049157,4551.0,0.1951219512195122,OAUTHC,0.797
0,22,13,False,10.335210112118695,0.35235452177849685,4507.5,0.045454545454545456,OAUTHC,0.455
1,50,12,False,5.665061955043637,0.4324148643016815,4417.5,0.02,OAUTHC,0.94
2,49,16,False,6.670156406586825,0.35603901789504655,5620.0,0.30612244897959184,OAUTHC,0.98
3,45,14,False,7.14354052501553,0.4396074891090393,3943.0,0.06666666666666667,OAUTHC,1.0
4,33,4,False,8.52022301361174,0.666104742974946,1299.0,0.0,OAUTHC,1.0
5,50,12,False,7.6689491250875745,0.6478074237704277,2919.0,0.2,OAUTHC,0.98
6,26,20,False,5.020514716248001,0.24426624952600554,15488.0,0.038461538461538464,LUTH,0.5
7,32,6,False,6.276977074778782,0.4013217072933912,10366.5,0.5625,OAUTHC,1.0
8,45,13,False,5.486383299716827,0.4040598971148332,8021.0,0.17777777777777778,OAUTHC,0.889
9,80,54,False,2.9816988599363734,0.3510689284652472,1376.0,0.2375,OAUTHC,0.725
10,199,81,False,1.137049234676239,0.41464902269630577,2861.0,0.21608040201005024,retrospective_oau,0.608
11,48,25,False,1.42354383104064,0.47557928040623665,2255.0,0.22916666666666666,retrospective_oau,0.5
