cluster,n_slides,n_patients,is_outlier,mean_centroid_dist,mean_wagner_p,median_n_tiles,msih_prevalence,top_site,top_site_pct
-1,42,28,True,12.890371913142918,0.4111743068233842,6158.0,0.19047619047619047,OAUTHC,0.714
0,32,19,False,17.804840448689333,0.3516420731320977,5254.0,0.15625,OAUTHC,0.5
1,263,96,False,1.795544313843294,0.41351099935547936,2536.0,0.20532319391634982,retrospective_oau,0.624
2,46,11,False,16.414612869541404,0.6386237873331361,3201.5,0.21739130434782608,OAUTHC,1.0
3,25,2,False,16.230841080988654,0.7276926064491271,1299.0,0.0,OAUTHC,1.0
4,104,64,False,13.131624202221325,0.4001864057320815,1400.0,0.21153846153846154,OAUTHC,0.827
5,87,25,False,14.093202991442993,0.3848695381619464,5251.0,0.1724137931034483,OAUTHC,0.874
6,127,23,False,13.946386722820426,0.4205323204280823,4568.0,0.14960629921259844,OAUTHC,0.969
7,37,12,False,12.100911165475166,0.42404523169672165,9360.0,0.4864864864864865,OAUTHC,1.0
8,40,12,False,12.08437921128253,0.5179698405787349,8745.5,0.075,OAUTHC,0.9
