filter,aggregator,site,n_bin,n_patients,n_msih,auroc,auprc,brier,mean_pred_mss,mean_pred_msih
none,mean,__overall__,all,217,47,0.6591989987484356,0.3856986721199081,0.2022364717041107,0.3815520073125729,0.4890903903499061
none,mean,LASUTH,all,13,3,0.9333333333333333,0.8666666666666667,0.1270653203961976,0.28159024243553477,0.5304544270038605
none,mean,LUTH,all,19,3,0.8125,0.6,0.1568143709760344,0.29564357665367424,0.6029800722996393
none,mean,OAUTHC,all,81,17,0.45128676470588236,0.2418392889417708,0.24856578461835852,0.42353302234627693,0.4062449231736581
none,mean,UITH,all,10,4,0.7916666666666667,0.7470238095238095,0.22925982008400023,0.30665898447235423,0.5010324632748961
none,mean,retrospective_msk,all,94,20,0.7831081081081082,0.6208111336063027,0.1790166530975506,0.38339965209901866,0.5338325650741657
none,mean,__overall__,1,73,17,0.6386554621848739,0.3891689747301643,0.21006394010874918,0.3522085641909923,0.46557167786009174
none,mean,__overall__,2-3,109,26,0.7177942539388322,0.5119562565032976,0.19165185942215082,0.3825479775637268,0.5141563185801108
none,mean,__overall__,4-6,17,2,0.7333333333333334,0.26785714285714285,0.1752142248611873,0.38626383011539783,0.491461425088346
none,mean,__overall__,7+,18,2,0.25,0.1111111111111111,0.26010845734437277,0.4746701286825942,0.36077134478222606
none,mean,OAUTHC,1,30,9,0.4814814814814815,0.3003127682049251,0.2686471289801313,0.3987067061520758,0.3682508303059472
none,mean,OAUTHC,2-3,22,4,0.5416666666666667,0.40773809523809523,0.23150022365638712,0.40838651165918066,0.4718601703643799
none,mean,OAUTHC,4-6,11,2,0.5555555555555556,0.26785714285714285,0.20904159382217014,0.4208437035757082,0.491461425088346
none,mean,OAUTHC,7+,18,2,0.25,0.1111111111111111,0.26010845734437277,0.4746701286825942,0.36077134478222606
none,max,__overall__,all,217,47,0.6444305381727158,0.34717710620553865,0.2433239996102735,0.4441434946130304,0.5511724400393506
none,max,LASUTH,all,13,3,0.8999999999999999,0.8333333333333333,0.13297920131839355,0.29098384007811545,0.5304544270038605
none,max,LUTH,all,19,3,0.8333333333333333,0.7575757575757576,0.1552914514330777,0.3086881744675338,0.7065624743700027
none,max,OAUTHC,all,81,17,0.4264705882352941,0.21345610143890303,0.3437533761342627,0.5423262381227687,0.48836804137510414
none,max,UITH,all,10,4,0.7916666666666667,0.7470238095238095,0.22235528783064407,0.30665898447235423,0.5115879476070404
none,max,retrospective_msk,all,94,20,0.8243243243243242,0.6535859562191324,0.19206876995617062,0.42036096953056956,0.5922722741961479
none,max,__overall__,1,73,17,0.6386554621848739,0.3891689747301643,0.21006394010874918,0.3522085641909923,0.46557167786009174
none,max,__overall__,2-3,109,26,0.7442075996292863,0.528073039293118,0.20759934490919574,0.4283134130289756,0.5816616885937177
none,max,__overall__,4-6,17,2,0.9666666666666667,0.8333333333333333,0.24719497736123816,0.5077165166536967,0.7550570070743561
none,max,__overall__,7+,18,2,0.375,0.14215686274509803,0.5908887265137378,0.7884345911443233,0.6785341203212738
none,max,OAUTHC,1,30,9,0.4814814814814815,0.3003127682049251,0.2686471289801313,0.3987067061520758,0.3682508303059472
none,max,OAUTHC,2-3,22,4,0.5555555555555556,0.4119047619047619,0.27027820686319864,0.474549381269349,0.5302042439579964
none,max,OAUTHC,4-6,11,2,0.9444444444444444,0.8333333333333333,0.2911356335666989,0.5754662321673499,0.7550570070743561
none,max,OAUTHC,7+,18,2,0.375,0.14215686274509803,0.5908887265137378,0.7884345911443233,0.6785341203212738
tumor_frac<0.1,mean,__overall__,all,26,6,0.325,0.19700530950530953,0.3123421059620749,0.3754554291628301,0.22318031943092742
tumor_frac<0.1,mean,OAUTHC,all,20,6,0.41666666666666663,0.30423280423280424,0.3066788950579759,0.31044962328991715,0.22318031943092742
tumor_frac<0.1,mean,__overall__,1,17,3,0.3571428571428571,0.17824074074074073,0.2885348559845279,0.388184630977256,0.24235577384630838
tumor_frac<0.1,mean,__overall__,2-3,5,2,0.16666666666666669,0.3666666666666667,0.5600973184390734,0.5206092620889345,0.08896029461175198
tumor_frac<0.1,mean,__overall__,4-6,4,1,1.0,1.0,0.10382890277040183,0.1708986544360717,0.4340940058231354
tumor_frac<0.1,mean,OAUTHC,1,12,3,0.4814814814814815,0.30757575757575756,0.27130730240625883,0.3170081004500389,0.24235577384630838
tumor_frac<0.1,mean,OAUTHC,2-3,4,2,0.25,0.5,0.6156436653007015,0.4902629293501377,0.08896029461175198
tumor_frac<0.1,mean,OAUTHC,4-6,4,1,1.0,1.0,0.10382890277040183,0.1708986544360717,0.4340940058231354
tumor_frac<0.1,max,__overall__,all,26,6,0.3416666666666667,0.20301060051060052,0.3104218286587775,0.390892718359828,0.25714219113190967
tumor_frac<0.1,max,OAUTHC,all,20,6,0.41666666666666663,0.3030945419103314,0.30387629591092896,0.3321282868938787,0.25714219113190967
