embedding,feature_set,input_dim,auroc,auprc,auroc_retrospective_msk,n_retrospective_msk,auroc_OAUTHC,n_OAUTHC,auroc_LUTH,n_LUTH,auroc_LASUTH,n_LASUTH,auroc_UITH,n_UITH,auroc_bin_1,n_bin_1,auroc_bin_2-3,n_bin_2-3,auroc_bin_4-6,n_bin_4-6,auroc_bin_7+,n_bin_7+
baseline,wagner_mean_pool,0,0.6591989987484356,,,,,,,,,,,,,,,,,,,
baseline,wagner_max/sqrtn,0,0.7166458072590739,,,,,,,,,,,,,,,,,,,
none,wagner+meta,2,0.6653316645807259,0.3428057269132388,0.8067567567567568,94.0,0.4448529411764705,81.0,0.8125,19.0,0.8333333333333333,13.0,0.75,10.0,0.6754201680672269,73.0,0.7349397590361446,109.0,0.7333333333333334,17.0,0.15625,18.0
virchow2_mean,emb_only,2560,0.6538172715894868,0.3536684117985094,0.6810810810810811,94.0,0.5615808823529411,81.0,0.7083333333333333,19.0,0.6666666666666666,13.0,0.7916666666666666,10.0,0.6974789915966386,73.0,0.6316033364226136,109.0,0.8666666666666667,17.0,0.5,18.0
none,wagner_only,1,0.6409261576971214,0.3497608441356011,0.7513513513513514,94.0,0.4420955882352941,81.0,0.7916666666666666,19.0,0.9,13.0,0.7083333333333334,10.0,0.6397058823529411,73.0,0.6862835959221502,109.0,0.8333333333333334,17.0,0.25,18.0
virchow2_mean,wagner+emb,2561,0.6311639549436797,0.287813296211674,0.6885135135135134,94.0,0.5183823529411765,81.0,0.75,19.0,0.6333333333333333,13.0,0.75,10.0,0.5819327731092436,73.0,0.6404077849860983,109.0,0.8666666666666667,17.0,0.5625,18.0
ctranspath_mean,emb+meta,769,0.6200250312891114,0.3688751362341972,0.7574324324324324,94.0,0.4448529411764705,81.0,0.6666666666666666,19.0,0.5666666666666667,13.0,0.75,10.0,0.5525210084033613,73.0,0.6904541241890639,109.0,0.4666666666666667,17.0,0.40625,18.0
virchow2_mean,emb+meta,2561,0.6193992490613267,0.2972595263548789,0.7297297297297296,94.0,0.5119485294117647,81.0,0.5625,19.0,0.5333333333333333,13.0,0.625,10.0,0.4758403361344537,73.0,0.6960148285449491,109.0,0.9,17.0,0.46875,18.0
virchow2_mean,all,2562,0.6147684605757197,0.2874698218555334,0.7195945945945946,94.0,0.5165441176470588,81.0,0.5833333333333333,19.0,0.5333333333333333,13.0,0.7083333333333334,10.0,0.5409663865546218,73.0,0.6626506024096385,109.0,0.8333333333333334,17.0,0.375,18.0
conch_v1.5_mean,wagner+emb,769,0.6121401752190238,0.3105227372668372,0.6878378378378378,94.0,0.551470588235294,81.0,0.4583333333333333,19.0,0.6,13.0,0.625,10.0,0.5094537815126051,73.0,0.6848934198331789,109.0,0.6333333333333333,17.0,0.65625,18.0
conch_v1.5_mean,emb+meta,769,0.6100125156445557,0.3127618298859157,0.7040540540540541,94.0,0.5680147058823529,81.0,0.4375,19.0,0.3333333333333333,13.0,0.6666666666666666,10.0,0.4968487394957983,73.0,0.6737720111214087,109.0,0.7666666666666666,17.0,0.5625,18.0
ctranspath_mean,all,770,0.6082603254067585,0.3384615693594275,0.7810810810810811,94.0,0.3924632352941177,81.0,0.8125,19.0,0.5333333333333333,13.0,0.6666666666666666,10.0,0.5357142857142858,73.0,0.696014828544949,109.0,0.4666666666666667,17.0,0.21875,18.0
conch_v1.5_mean,emb_only,768,0.6060075093867333,0.3067972374376684,0.6358108108108108,94.0,0.5909926470588236,81.0,0.2916666666666666,19.0,0.5333333333333333,13.0,0.75,10.0,0.5220588235294118,73.0,0.6464318813716404,109.0,0.8,17.0,0.625,18.0
uni2_mean,emb_only,1536,0.6015018773466834,0.31831552133859,0.7554054054054054,94.0,0.4292279411764705,81.0,0.6458333333333334,19.0,0.5333333333333333,13.0,0.5,10.0,0.5535714285714286,73.0,0.655236329935125,109.0,0.4,17.0,0.4375,18.0
ctranspath_mean,wagner+emb,769,0.6013767209011264,0.3351754661983024,0.7641891891891892,94.0,0.4007352941176471,81.0,0.7083333333333333,19.0,0.5666666666666667,13.0,0.625,10.0,0.5430672268907564,73.0,0.6751621872103799,109.0,0.4666666666666667,17.0,0.15625,18.0
uni2_mean,wagner+emb,1537,0.5986232790988736,0.2975977442886783,0.7317567567567568,94.0,0.4852941176470588,81.0,0.5208333333333334,19.0,0.4666666666666667,13.0,0.5416666666666666,10.0,0.5136554621848739,73.0,0.6751621872103799,109.0,0.5333333333333333,17.0,0.375,18.0
uni2_mean,all,1538,0.5898623279098874,0.3040076196851236,0.7054054054054054,94.0,0.4145220588235294,81.0,0.7916666666666666,19.0,0.4666666666666667,13.0,0.7083333333333333,10.0,0.6060924369747899,73.0,0.6214087117701576,109.0,0.3666666666666666,17.0,0.28125,18.0
conch_v1.5_mean,all,770,0.5888610763454318,0.3233751228370976,0.6405405405405405,94.0,0.546875,81.0,0.3958333333333333,19.0,0.3333333333333333,13.0,0.75,10.0,0.5336134453781513,73.0,0.6362372567191844,109.0,0.4666666666666667,17.0,0.53125,18.0
ctranspath_mean,emb_only,768,0.5707133917396746,0.3391785214643145,0.7087837837837838,94.0,0.4016544117647058,81.0,0.6666666666666666,19.0,0.2999999999999999,13.0,0.6666666666666666,10.0,0.4789915966386555,73.0,0.6561631139944393,109.0,0.4333333333333333,17.0,0.3125,18.0
uni2_mean,emb+meta,1537,0.5604505632040051,0.2556877040403986,0.6533783783783784,94.0,0.3970588235294117,81.0,0.7708333333333334,19.0,0.6,13.0,0.5416666666666667,10.0,0.5189075630252101,73.0,0.6116774791473587,109.0,0.5666666666666667,17.0,0.28125,18.0
