group,aggregator,n,n_pos,auroc
__overall__,raw_mean,217,47,0.6591989987484356
__overall__,raw_max,217,47,0.6444305381727158
__overall__,raw_median,217,47,0.6498122653316646
__overall__,raw_p75,217,47,0.6486858573216521
__overall__,top3_mean,217,47,0.6380475594493117
__overall__,top5_mean,217,47,0.6428035043804756
__overall__,p95,217,47,0.6448060075093868
__overall__,max_minus_Emax_MSS,217,47,0.6909887359198998
__overall__,max_pct_under_MSS,217,47,0.6955569461827283
__overall__,max_over_sqrtn,217,47,0.7166458072590739
LASUTH,raw_mean,13,3,0.9333333333333333
LASUTH,raw_max,13,3,0.8999999999999999
LASUTH,raw_median,13,3,0.9333333333333333
LASUTH,raw_p75,13,3,0.9333333333333333
LASUTH,top3_mean,13,3,0.9333333333333333
LASUTH,top5_mean,13,3,0.9333333333333333
LASUTH,p95,13,3,0.8999999999999999
LASUTH,max_minus_Emax_MSS,13,3,0.9333333333333333
LASUTH,max_pct_under_MSS,13,3,0.9333333333333333
LASUTH,max_over_sqrtn,13,3,0.9333333333333333
LUTH,raw_mean,19,3,0.8125
LUTH,raw_max,19,3,0.8333333333333333
LUTH,raw_median,19,3,0.8125
LUTH,raw_p75,19,3,0.8125
LUTH,top3_mean,19,3,0.8125
LUTH,top5_mean,19,3,0.8125
LUTH,p95,19,3,0.8125
LUTH,max_minus_Emax_MSS,19,3,0.875
LUTH,max_pct_under_MSS,19,3,0.8958333333333333
LUTH,max_over_sqrtn,19,3,0.8541666666666666
OAUTHC,raw_mean,81,17,0.45128676470588236
OAUTHC,raw_max,81,17,0.4264705882352941
OAUTHC,raw_median,81,17,0.4586397058823529
OAUTHC,raw_p75,81,17,0.4522058823529411
OAUTHC,top3_mean,81,17,0.43290441176470584
OAUTHC,top5_mean,81,17,0.44025735294117646
OAUTHC,p95,81,17,0.42647058823529416
OAUTHC,max_minus_Emax_MSS,81,17,0.5128676470588235
OAUTHC,max_pct_under_MSS,81,17,0.5225183823529411
OAUTHC,max_over_sqrtn,81,17,0.6158088235294117
UITH,raw_mean,10,4,0.7916666666666667
UITH,raw_max,10,4,0.7916666666666667
UITH,raw_median,10,4,0.7916666666666667
UITH,raw_p75,10,4,0.7916666666666667
UITH,top3_mean,10,4,0.7916666666666667
UITH,top5_mean,10,4,0.7916666666666667
UITH,p95,10,4,0.7916666666666667
UITH,max_minus_Emax_MSS,10,4,0.6666666666666666
UITH,max_pct_under_MSS,10,4,0.6666666666666666
UITH,max_over_sqrtn,10,4,0.75
retrospective_msk,raw_mean,94,20,0.7831081081081082
retrospective_msk,raw_max,94,20,0.8243243243243242
retrospective_msk,raw_median,94,20,0.7560810810810811
retrospective_msk,raw_p75,94,20,0.7885135135135135
retrospective_msk,top3_mean,94,20,0.7831081081081082
retrospective_msk,top5_mean,94,20,0.7831081081081082
retrospective_msk,p95,94,20,0.8195945945945945
retrospective_msk,max_minus_Emax_MSS,94,20,0.7999999999999999
retrospective_msk,max_pct_under_MSS,94,20,0.8013513513513514
retrospective_msk,max_over_sqrtn,94,20,0.7824324324324324
bin_1,raw_mean,73,17,0.6386554621848739
bin_1,raw_max,73,17,0.6386554621848739
bin_1,raw_median,73,17,0.6386554621848739
bin_1,raw_p75,73,17,0.6386554621848739
