method,site,sens,spec
isotonic,LASUTH,1.0,0.11600000000000002
isotonic,LUTH,1.0,0.2225
isotonic,OAUTHC,0.9188235294117646,0.016875
isotonic,UITH,0.985,0.18333333333333332
isotonic,retrospective,0.9990000000000001,0.014864864864864866
platt,LASUTH,1.0,0.16
platt,LUTH,1.0,0.345
platt,OAUTHC,0.8776470588235294,0.075
platt,UITH,0.9,0.28
platt,retrospective,0.9990000000000001,0.058648648648648646
uncalibrated,LASUTH,1.0,0.16
uncalibrated,LUTH,1.0,0.345
uncalibrated,OAUTHC,0.8776470588235294,0.075
uncalibrated,UITH,0.9,0.28
uncalibrated,retrospective,0.9990000000000001,0.058648648648648646
