feature,site,n_mss_slides,spearman_vs_wagner
h_max,ALL,648,0.06341861493408399
h_max,LASUTH,12,0.055944055944055944
h_max,LUTH,27,-0.23931623931623933
h_max,OAUTHC,392,0.11358164241468244
h_max,retrospective_msk,77,-0.06185919343814081
h_max,retrospective_oau,134,-0.014895447574159278
e_max,ALL,648,0.0015187811012084714
e_max,LASUTH,12,0.5454545454545454
e_max,LUTH,27,-0.33760683760683763
e_max,OAUTHC,392,-0.044735517838067854
e_max,retrospective_msk,77,-0.15205846784794153
e_max,retrospective_oau,134,0.04704048678911208
mean_r,ALL,648,-0.0356588086790062
mean_r,LASUTH,12,-0.06993006993006994
mean_r,LUTH,27,0.21184371184371184
mean_r,OAUTHC,392,-0.014227463305269004
mean_r,retrospective_msk,77,0.07250644092749356
mean_r,retrospective_oau,134,-0.08398359081784063
mean_b,ALL,648,-0.08121240699240856
mean_b,LASUTH,12,0.1048951048951049
mean_b,LUTH,27,0.23931623931623933
mean_b,OAUTHC,392,0.03492369400465131
mean_b,retrospective_msk,77,0.14548609285451392
mean_b,retrospective_oau,134,-0.04359405977630644
tissue_fraction,ALL,648,0.12786647992159741
tissue_fraction,LASUTH,12,-0.07692307692307693
tissue_fraction,LUTH,27,0.05616605616605617
tissue_fraction,OAUTHC,392,0.21920656745937672
tissue_fraction,retrospective_msk,77,-0.15910405384089596
tissue_fraction,retrospective_oau,134,-0.1799897754336089
