scorer,overall,LASUTH,LUTH,OAUTHC,UITH,retrospective_msk,retrospective_oau
wagner_zeroshot,0.731,0.889,0.923,0.614,0.75,0.79,0.822
simple_grid,0.656,0.778,0.654,0.683,0.417,0.697,0.611
harmony_probe,0.656,0.778,0.654,0.683,0.417,0.697,0.611
batch_corrected_probe,0.655,0.722,0.423,0.618,0.5,0.719,0.8
slidefm_linearprobe,0.647,0.611,0.423,0.611,0.458,0.696,0.789
flex_bottleneck,0.624,0.5,0.5,0.522,0.583,0.752,0.711
tilemil_oauthc_adapt,0.613,0.778,0.538,0.591,0.417,0.727,0.522
clam_tilemil,0.605,0.556,0.462,0.625,0.625,0.716,0.511
stainnorm_probe,0.592,0.778,0.615,0.488,0.5,0.671,0.644
transductive_smoothing,0.574,1.0,0.692,0.508,0.583,0.598,0.511
fmmap_probe,0.553,0.778,0.731,0.509,0.333,0.536,0.667
protonet_cluster,0.518,0.611,0.923,0.508,0.5,0.509,0.378
nuclear_morphology,0.516,0.611,0.346,0.531,0.333,0.464,0.622
vl_text_cosine,0.456,0.556,0.846,0.522,0.125,0.522,0.167
tip_adapter,0.441,0.5,0.885,0.48,0.125,0.474,0.256
