stratum,tercile,n,prevalence,tile_min,tile_max,tile_median,auroc,auprc
overall,small,268,0.13432835820895522,55,2248,1140.5,0.5824952107279694,0.22794605136877102
overall,medium,267,0.1947565543071161,2258,5471,3718.0,0.4731663685152057,0.23798695859371477
overall,large,268,0.2462686567164179,5484,26046,8162.0,0.6147614761476147,0.2834766392339624
LASUTH,small,3,0.0,1460,1885,1687.0,,
LASUTH,medium,3,0.0,3604,4744,3897.0,,
LASUTH,large,9,0.3333333333333333,7679,20121,13044.0,0.888888888888889,0.8666666666666667
LUTH,small,10,0.2,55,1815,1165.0,0.75,0.6666666666666666
LUTH,medium,4,0.5,2992,5061,3964.5,1.0,1.0
LUTH,large,17,0.0,9154,26046,16995.0,,
OAUTHC,small,133,0.15789473684210525,211,2248,1099.0,0.43069727891156456,0.14348811633024477
OAUTHC,medium,152,0.17105263157894737,2258,5438,3884.0,0.33791208791208793,0.19647671767305036
OAUTHC,large,191,0.18848167539267016,5484,24072,8236.0,0.5123655913978494,0.1850933491943983
UITH,small,4,0.25,745,1865,1049.0,1.0,1.0
UITH,medium,4,0.75,3064,4753,3609.5,1.0,1.0
UITH,large,4,0.5,5804,12117,11402.5,1.0,1.0
retrospective_msk,small,41,0.0975609756097561,97,2210,1204.0,0.7972972972972974,0.4213235294117647
retrospective_msk,medium,38,0.15789473684210525,2276,5370,3652.5,0.59375,0.4111675778342445
retrospective_msk,large,18,0.5555555555555556,5538,9995,6113.0,0.8375,0.8911643911643911
retrospective_oau,small,77,0.1038961038961039,87,2236,1195.0,0.8333333333333334,0.3713232481640147
retrospective_oau,medium,66,0.22727272727272727,2273,5471,3574.5,0.7411764705882353,0.6189210078117343
retrospective_oau,large,29,0.5172413793103449,5563,10036,6117.0,0.8095238095238095,0.8270648360354242
