bucket,regime,strategy,auroc,auprc
stacking,loso,stack_meta_lr:BASE,0.5802368927368927,0.24164831388162775
knn,loso,knn9:conch_v1.5_titan,0.5359798380631714,0.20470237776566177
proto,loso,proto:conch_v1.5_mean,0.5353735770402437,0.21294943819707873
single,loso,single:conch_v1.5_mean,0.5222162097162097,0.1937520788093107
late_avg,loso,late_avg:conch_v1.5+uni2,0.4602873977873978,0.16666818152501034
concat_pca,loso,concat_pca100_lr:BASE,0.451053190636524,0.16593063581801087
late_avg,patient_cv,late_avg:conch_v1.5+virchow2,0.5858986692320026,0.22115173652390502
single,patient_cv,single:virchow2_mean,0.5757976591309925,0.22415661274833282
concat_pca,patient_cv,concat_pca100_lr:BASE,0.542598605098605,0.20400876675702834
knn,patient_cv,knn3:uni2_mean,0.5117344075677409,0.19179452101385386
proto,patient_cv,proto:virchow2_prism,0.5051406926406926,0.1878580257110763
stacking,patient_cv,stack_meta_lr:BASE,0.3274611191277858,0.13647274281962207
