strategy,regime,n,auroc,auprc,bal_acc
single:conch_v1.5_mean,patient_cv,802,0.5733024691358024,0.21622245905625398,0.5065436107102774
single:conch_v1.5_mean,loso,802,0.5222162097162097,0.1937520788093107,0.4889470097803431
single:ctranspath_mean,patient_cv,802,0.5659672118005451,0.22200804284935227,0.5351230559563893
single:ctranspath_mean,loso,802,0.38116281866281865,0.14818289025153936,0.4127284752284752
single:uni2_mean,patient_cv,802,0.5450537117203784,0.22721142001638944,0.5103715728715729
single:uni2_mean,loso,802,0.39734648067981404,0.1517706186954772,0.41572470739137407
single:virchow2_mean,patient_cv,802,0.5757976591309925,0.22415661274833282,0.5326479076479076
single:virchow2_mean,loso,802,0.4167167708834376,0.1564534579575217,0.42243867243867245
single:conch_v1.5_titan,patient_cv,802,0.5261443803110469,0.20819235647765577,0.5021745230078564
single:conch_v1.5_titan,loso,802,0.5008317299983966,0.1848554027760872,0.47889610389610393
single:virchow2_prism,patient_cv,802,0.5181076639409972,0.20202756400851543,0.5043290043290043
single:virchow2_prism,loso,802,0.4894580727914061,0.1834365948447289,0.4760301426968093
late_avg:conch_v1.5+ctranspath,patient_cv,802,0.5832431457431457,0.22553313965459376,0.515482202982203
late_avg:conch_v1.5+ctranspath,loso,802,0.44080687830687826,0.1612940033128416,0.43185826519159853
late_avg:conch_v1.5+uni2,patient_cv,802,0.5763989097322431,0.22808370612663248,0.49677328843995516
late_avg:conch_v1.5+uni2,loso,802,0.4602873977873978,0.16666818152501034,0.4567099567099567
late_avg:conch_v1.5+virchow2,patient_cv,802,0.5858986692320026,0.22115173652390502,0.5219757094757095
late_avg:conch_v1.5+virchow2,loso,802,0.4581529581529582,0.16682496149922554,0.44098725348725343
late_avg:ctranspath+uni2,patient_cv,802,0.5569985569985569,0.23642780357869175,0.5153218694885361
late_avg:ctranspath+uni2,loso,802,0.36843634760301425,0.14320167045140264,0.4091309924643258
late_avg:ctranspath+virchow2,patient_cv,802,0.5613576238576239,0.22530692417399945,0.5326479076479076
late_avg:ctranspath+virchow2,loso,802,0.37900833734167066,0.1481908335471494,0.4273889690556357
late_avg:uni2+virchow2,patient_cv,802,0.5562269520602854,0.22311157244743787,0.5250621292287959
late_avg:uni2+virchow2,loso,802,0.3906425364758698,0.14949115601655227,0.4273589065255732
late_avg:conch_v1.5+ctranspath+uni2,patient_cv,802,0.5782427449094116,0.23295100931620585,0.5190195606862273
late_avg:conch_v1.5+ctranspath+uni2,loso,802,0.4231601731601732,0.15506483766587895,0.4098725348725349
late_avg:conch_v1.5+ctranspath+virchow2,patient_cv,802,0.581559644059644,0.22550862471121064,0.5253827962161296
late_avg:conch_v1.5+ctranspath+virchow2,loso,802,0.4239718614718614,0.1571809131030658,0.423210277376944
late_avg:conch_v1.5+uni2+virchow2,patient_cv,802,0.5792247875581209,0.23051838682805756,0.5097603014269682
late_avg:conch_v1.5+uni2+virchow2,loso,802,0.43670835337502006,0.16014897684180077,0.42379148629148633
late_avg:ctranspath+uni2+virchow2,patient_cv,802,0.5573092031425364,0.2344763450594995,0.528469215969216
late_avg:ctranspath+uni2+virchow2,loso,802,0.37057078723745396,0.14413370890754013,0.41035353535353536
late_avg:conch_v1.5+ctranspath+uni2+virchow2,patient_cv,802,0.5775012025012025,0.23129990385461824,0.521043771043771
late_avg:conch_v1.5+ctranspath+uni2+virchow2,loso,802,0.4138407888407888,0.15307665084567548,0.4177789802789803
concat_pca100_lr:BASE,patient_cv,802,0.542598605098605,0.20400876675702834,0.5087281545614879
concat_pca100_lr:BASE,loso,802,0.451053190636524,0.16593063581801087,0.45564774731441393
stack_meta_lr:BASE,patient_cv,802,0.3274611191277858,0.13647274281962207,0.43414301747635087
stack_meta_lr:BASE,loso,802,0.5802368927368927,0.24164831388162775,0.5618787077120411
knn3:conch_v1.5_mean,patient_cv,802,0.477823873657207,0.1823699679372996,0.4655282988616322
knn3:conch_v1.5_mean,loso,802,0.446744227994228,0.17661458870626223,0.43360189193522525
knn5:conch_v1.5_mean,patient_cv,802,0.46963684463684463,0.17982418344624979,0.4600669392336059
knn5:conch_v1.5_mean,loso,802,0.4809303350970018,0.18378478212630192,0.4843674843674844
knn9:conch_v1.5_mean,patient_cv,802,0.4582431457431457,0.17506176431931122,0.46961680295013625
knn9:conch_v1.5_mean,loso,802,0.48890191598524935,0.18455578723849786,0.48183221099887763
proto:conch_v1.5_mean,patient_cv,802,0.38548180214846883,0.1467603710203603,0.41880110630110634
proto:conch_v1.5_mean,loso,802,0.5353735770402437,0.21294943819707873,0.51588303671637
knn3:ctranspath_mean,patient_cv,802,0.5096300304633637,0.1910821415834602,0.4707992624659292
