embedding,regime,n,pearson,spearman,rmse_log,auroc_at_10
conch_v1.5_mean,patient_cv,533,-0.009953655583770357,-0.03946904653418949,1.1994702214917683,0.5393783371472158
conch_v1.5_mean,loso,533,-0.052063394879543576,-0.09135459351225172,2.4733365685052773,0.3548102593440122
ctranspath_mean,patient_cv,533,-0.08537596855030016,-0.22496334267416113,1.535649532569676,0.36467868039664375
ctranspath_mean,loso,533,-0.08588488758209817,-0.1100194698812339,1.698076413250596,0.3559544241037376
uni2_mean,patient_cv,533,-0.02065614391780133,-0.13532826085118435,1.319581063515717,0.4190980167810831
uni2_mean,loso,533,0.057272816183006475,-0.011019735899257838,1.2605804805672625,0.3724017925247902
virchow2_mean,patient_cv,533,-0.048052605551545946,-0.12184231026605447,1.3888610468919582,0.4124475591151792
virchow2_mean,loso,533,0.012926476309705528,-0.038035477603176306,1.361731865080055,0.35497711670480553
conch_v1.5_titan,patient_cv,533,0.03610791217481409,-0.09509944757669672,1.4486354897338483,0.45668859649122806
conch_v1.5_titan,loso,533,-0.04387591635007982,-0.023193950611561737,1.595950647295104,0.4639349733028223
virchow2_prism,patient_cv,533,-0.02835787999021156,-0.04318823227426665,1.349946250864476,0.5187356979405034
virchow2_prism,loso,533,-0.04807186098090053,-0.10731681867755409,1.7729869062107722,0.36007818459191454
