aggregator,site,n,auroc,auprc
mean,__overall__,217,0.6591989987484356,0.3856986721199081
mean,LASUTH,13,0.9333333333333333,0.8666666666666667
mean,LUTH,19,0.8125,0.6
mean,OAUTHC,81,0.45128676470588236,0.2418392889417708
mean,UITH,10,0.7916666666666667,0.7470238095238095
mean,retrospective_msk,94,0.7831081081081082,0.6208111336063027
max,__overall__,217,0.6444305381727158,0.34717710620553865
max,LASUTH,13,0.8999999999999999,0.8333333333333333
max,LUTH,19,0.8333333333333333,0.7575757575757576
max,OAUTHC,81,0.4264705882352941,0.21345610143890303
max,UITH,10,0.7916666666666667,0.7470238095238095
max,retrospective_msk,94,0.8243243243243242,0.6535859562191324
median,__overall__,217,0.6498122653316646,0.37193250017606216
median,LASUTH,13,0.9333333333333333,0.8666666666666667
median,LUTH,19,0.8125,0.6
median,OAUTHC,81,0.4586397058823529,0.24155257023831211
median,UITH,10,0.7916666666666667,0.7470238095238095
median,retrospective_msk,94,0.7560810810810811,0.5838337158783456
p75,__overall__,217,0.6486858573216521,0.3634574802586886
p75,LASUTH,13,0.9333333333333333,0.8666666666666667
p75,LUTH,19,0.8125,0.6464646464646464
p75,OAUTHC,81,0.4522058823529411,0.24386864587436752
p75,UITH,10,0.7916666666666667,0.7470238095238095
p75,retrospective_msk,94,0.7885135135135135,0.6138323329480642
top3mean,__overall__,217,0.6380475594493117,0.33844293234244005
top3mean,LASUTH,13,0.9333333333333333,0.8666666666666667
top3mean,LUTH,19,0.8125,0.6
top3mean,OAUTHC,81,0.43290441176470584,0.23583895817771033
top3mean,UITH,10,0.7916666666666667,0.7470238095238095
top3mean,retrospective_msk,94,0.7831081081081082,0.6208111336063027
