scorer,regime,site,n_patients,prevalence,n_site_slides_kept,auroc,spec_at_sens95,spec_at_sens96
champion,hard,LASUTH,9,0.3333333333333333,9,0.888888888888889,0.6666666666666666,0.6666666666666666
champion,hard,LUTH,15,0.13333333333333333,18,1.0,1.0,1.0
champion,hard,OAUTHC,64,0.203125,182,0.579185520361991,0.0,0.0
champion,hard,UITH,10,0.4,12,0.75,0.5,0.5
champion,hard,retrospective_msk,10,0.1,11,0.5555555555555556,0.5555555555555556,0.5555555555555556
champion,hard,retrospective_oau,73,0.2465753424657534,196,0.8262626262626263,0.09090909090909091,0.09090909090909091
champion,hard,OVERALL,181,0.2265193370165746,428,0.7127177700348433,0.17857142857142858,0.07857142857142857
champion,none,LASUTH,9,0.3333333333333333,11,0.888888888888889,0.6666666666666666,0.6666666666666666
champion,none,LUTH,15,0.13333333333333333,24,0.9230769230769231,0.8461538461538461,0.8461538461538461
champion,none,OAUTHC,64,0.203125,413,0.616892911010558,0.0,0.0
champion,none,UITH,10,0.4,12,0.75,0.5,0.5
champion,none,retrospective_msk,10,0.1,11,0.5555555555555556,0.5555555555555556,0.5555555555555556
champion,none,retrospective_oau,73,0.2465753424657534,229,0.8444444444444444,0.09090909090909091,0.09090909090909091
champion,none,OVERALL,181,0.2265193370165746,700,0.7318815331010452,0.15,0.09285714285714286
champion,soft,LASUTH,9,0.3333333333333333,11,0.6111111111111112,0.3333333333333333,0.3333333333333333
champion,soft,LUTH,15,0.13333333333333333,24,0.9615384615384616,0.9230769230769231,0.9230769230769231
champion,soft,OAUTHC,64,0.203125,413,0.5882352941176471,0.0,0.0
champion,soft,UITH,10,0.4,12,0.5,0.16666666666666666,0.16666666666666666
champion,soft,retrospective_msk,10,0.1,11,0.8888888888888888,0.8888888888888888,0.8888888888888888
champion,soft,retrospective_oau,73,0.2465753424657534,229,0.6686868686868687,0.14545454545454545,0.14545454545454545
champion,soft,OVERALL,181,0.2265193370165746,700,0.6548780487804878,0.12857142857142856,0.08571428571428572
harmony,hard,LASUTH,9,0.3333333333333333,9,0.7777777777777778,0.5,0.5
harmony,hard,LUTH,15,0.13333333333333333,18,0.6538461538461539,0.5384615384615384,0.5384615384615384
harmony,hard,OAUTHC,64,0.203125,182,0.6832579185520362,0.27450980392156865,0.27450980392156865
harmony,hard,UITH,10,0.4,12,0.41666666666666663,0.16666666666666666,0.16666666666666666
harmony,hard,retrospective_msk,10,0.1,11,0.7777777777777778,0.7777777777777778,0.7777777777777778
harmony,hard,retrospective_oau,73,0.2465753424657534,196,0.6707070707070706,0.03636363636363636,0.03636363636363636
harmony,hard,OVERALL,181,0.2265193370165746,428,0.6559233449477352,0.2642857142857143,0.2357142857142857
harmony,none,LASUTH,9,0.3333333333333333,11,0.6666666666666666,0.0,0.0
harmony,none,LUTH,15,0.13333333333333333,24,0.7307692307692308,0.6153846153846154,0.6153846153846154
harmony,none,OAUTHC,64,0.203125,412,0.67420814479638,0.3137254901960784,0.3137254901960784
harmony,none,UITH,10,0.4,12,0.375,0.16666666666666666,0.16666666666666666
harmony,none,retrospective_msk,10,0.1,11,0.7777777777777778,0.7777777777777778,0.7777777777777778
harmony,none,retrospective_oau,73,0.2465753424657534,229,0.6868686868686869,0.03636363636363636,0.03636363636363636
harmony,none,OVERALL,181,0.2265193370165746,699,0.6527874564459931,0.2857142857142857,0.11428571428571428
harmony,soft,LASUTH,9,0.3333333333333333,11,0.611111111111111,0.16666666666666666,0.16666666666666666
harmony,soft,LUTH,15,0.13333333333333333,24,0.7692307692307692,0.7692307692307693,0.7692307692307693
harmony,soft,OAUTHC,64,0.203125,412,0.6817496229260935,0.27450980392156865,0.27450980392156865
harmony,soft,UITH,10,0.4,12,0.29166666666666663,0.16666666666666666,0.16666666666666666
harmony,soft,retrospective_msk,10,0.1,11,0.8888888888888888,0.8888888888888888,0.8888888888888888
harmony,soft,retrospective_oau,73,0.2465753424657534,229,0.6757575757575758,0.0,0.0
harmony,soft,OVERALL,181,0.2265193370165746,699,0.6416376306620208,0.24285714285714285,0.15
