scorer,tumor_floor,aggregator,site,n_patients,n_slides_total,n_oauthc_slides,auroc,spec_at_sens95
champion,off,max_sqrtn,LASUTH,9,705,418,0.888888888888889,0.6666666666666666
champion,off,max_sqrtn,LUTH,15,705,418,0.9230769230769231,0.8461538461538461
champion,off,max_sqrtn,OAUTHC,64,705,418,0.616892911010558,0.0
champion,off,max_sqrtn,UITH,10,705,418,0.75,0.5
champion,off,max_sqrtn,retrospective_msk,10,705,418,0.5555555555555556,0.5555555555555556
champion,off,max_sqrtn,retrospective_oau,73,705,418,0.8444444444444444,0.09090909090909091
champion,off,max_sqrtn,OVERALL,181,705,418,0.7318815331010452,0.15
harmony,off,max_sqrtn,LASUTH,9,705,418,0.6666666666666666,0.0
harmony,off,max_sqrtn,LUTH,15,705,418,0.7307692307692308,0.6153846153846154
harmony,off,max_sqrtn,OAUTHC,64,705,418,0.67420814479638,0.3137254901960784
harmony,off,max_sqrtn,UITH,10,705,418,0.375,0.16666666666666666
harmony,off,max_sqrtn,retrospective_msk,10,705,418,0.7777777777777778,0.7777777777777778
harmony,off,max_sqrtn,retrospective_oau,73,705,418,0.6868686868686869,0.03636363636363636
harmony,off,max_sqrtn,OVERALL,181,705,418,0.6527874564459931,0.2857142857142857
champion,off,mean,LASUTH,9,705,418,0.888888888888889,0.6666666666666666
champion,off,mean,LUTH,15,705,418,0.9230769230769231,0.8461538461538461
champion,off,mean,OAUTHC,64,705,418,0.4645550527903469,0.0
champion,off,mean,UITH,10,705,418,0.7916666666666667,0.5
champion,off,mean,retrospective_msk,10,705,418,0.4444444444444444,0.4444444444444444
champion,off,mean,retrospective_oau,73,705,418,0.8101010101010101,0.09090909090909091
champion,off,mean,OVERALL,181,705,418,0.6885017421602787,0.22142857142857142
harmony,off,mean,LASUTH,9,705,418,0.6666666666666666,0.0
harmony,off,mean,LUTH,15,705,418,0.6923076923076923,0.5384615384615384
harmony,off,mean,OAUTHC,64,705,418,0.6561085972850679,0.3333333333333333
harmony,off,mean,UITH,10,705,418,0.375,0.16666666666666666
harmony,off,mean,retrospective_msk,10,705,418,0.7777777777777778,0.7777777777777778
harmony,off,mean,retrospective_oau,73,705,418,0.6838383838383838,0.01818181818181818
harmony,off,mean,OVERALL,181,705,418,0.6442508710801393,0.2857142857142857
champion,off,top3_mean,LASUTH,9,705,418,0.888888888888889,0.6666666666666666
champion,off,top3_mean,LUTH,15,705,418,0.9230769230769231,0.8461538461538461
champion,off,top3_mean,OAUTHC,64,705,418,0.4494720965309201,0.0
champion,off,top3_mean,UITH,10,705,418,0.7916666666666667,0.5
champion,off,top3_mean,retrospective_msk,10,705,418,0.4444444444444444,0.4444444444444444
champion,off,top3_mean,retrospective_oau,73,705,418,0.8101010101010101,0.09090909090909091
champion,off,top3_mean,OVERALL,181,705,418,0.6644599303135887,0.22142857142857142
harmony,off,top3_mean,LASUTH,9,705,418,0.6666666666666666,0.0
harmony,off,top3_mean,LUTH,15,705,418,0.6923076923076923,0.5384615384615384
harmony,off,top3_mean,OAUTHC,64,705,418,0.5776772247360483,0.29411764705882354
harmony,off,top3_mean,UITH,10,705,418,0.375,0.16666666666666666
harmony,off,top3_mean,retrospective_msk,10,705,418,0.7777777777777778,0.7777777777777778
harmony,off,top3_mean,retrospective_oau,73,705,418,0.6777777777777777,0.01818181818181818
harmony,off,top3_mean,OVERALL,181,705,418,0.6121951219512195,0.2714285714285714
champion,off,learned_lr,LASUTH,9,705,418,0.888888888888889,0.6666666666666666
champion,off,learned_lr,LUTH,15,705,418,0.9230769230769231,0.8461538461538461
champion,off,learned_lr,OAUTHC,64,705,418,0.48567119155354455,0.0
champion,off,learned_lr,UITH,10,705,418,0.625,0.0
champion,off,learned_lr,retrospective_msk,10,705,418,0.5555555555555556,0.5555555555555556
champion,off,learned_lr,retrospective_oau,73,705,418,0.8292929292929292,0.07272727272727272
champion,off,learned_lr,OVERALL,181,705,418,0.6912891986062717,0.1357142857142857
harmony,off,learned_lr,LASUTH,9,705,418,0.33333333333333337,0.0
harmony,off,learned_lr,LUTH,15,705,418,0.6538461538461539,0.46153846153846156
harmony,off,learned_lr,OAUTHC,64,705,418,0.6214177978883861,0.058823529411764705
harmony,off,learned_lr,UITH,10,705,418,0.25,0.0
harmony,off,learned_lr,retrospective_msk,10,705,418,0.7777777777777778,0.7777777777777778
harmony,off,learned_lr,retrospective_oau,73,705,418,0.6494949494949495,0.09090909090909091
harmony,off,learned_lr,OVERALL,181,705,418,0.5945993031358886,0.06428571428571428
champion,0.01,max_sqrtn,LASUTH,9,428,182,0.888888888888889,0.6666666666666666
champion,0.01,max_sqrtn,LUTH,15,428,182,1.0,1.0
champion,0.01,max_sqrtn,OAUTHC,64,428,182,0.579185520361991,0.0
champion,0.01,max_sqrtn,UITH,10,428,182,0.75,0.5
champion,0.01,max_sqrtn,retrospective_msk,10,428,182,0.5555555555555556,0.5555555555555556
champion,0.01,max_sqrtn,retrospective_oau,73,428,182,0.8262626262626263,0.09090909090909091
champion,0.01,max_sqrtn,OVERALL,181,428,182,0.7127177700348433,0.17857142857142858
harmony,0.01,max_sqrtn,LASUTH,9,428,182,0.7777777777777778,0.5
harmony,0.01,max_sqrtn,LUTH,15,428,182,0.6538461538461539,0.5384615384615384
harmony,0.01,max_sqrtn,OAUTHC,64,428,182,0.6832579185520362,0.27450980392156865
harmony,0.01,max_sqrtn,UITH,10,428,182,0.41666666666666663,0.16666666666666666
harmony,0.01,max_sqrtn,retrospective_msk,10,428,182,0.7777777777777778,0.7777777777777778
harmony,0.01,max_sqrtn,retrospective_oau,73,428,182,0.6707070707070706,0.03636363636363636
harmony,0.01,max_sqrtn,OVERALL,181,428,182,0.6559233449477352,0.2642857142857143
champion,0.01,mean,LASUTH,9,428,182,0.888888888888889,0.6666666666666666
champion,0.01,mean,LUTH,15,428,182,1.0,1.0
champion,0.01,mean,OAUTHC,64,428,182,0.497737556561086,0.0
champion,0.01,mean,UITH,10,428,182,0.7916666666666667,0.5
champion,0.01,mean,retrospective_msk,10,428,182,0.4444444444444444,0.4444444444444444
champion,0.01,mean,retrospective_oau,73,428,182,0.793939393939394,0.10909090909090909
champion,0.01,mean,OVERALL,181,428,182,0.6912891986062717,0.18571428571428572
harmony,0.01,mean,LASUTH,9,428,182,0.7777777777777778,0.5
harmony,0.01,mean,LUTH,15,428,182,0.6538461538461539,0.5384615384615384
harmony,0.01,mean,OAUTHC,64,428,182,0.7134238310708899,0.27450980392156865
harmony,0.01,mean,UITH,10,428,182,0.41666666666666663,0.16666666666666666
harmony,0.01,mean,retrospective_msk,10,428,182,0.7777777777777778,0.7777777777777778
harmony,0.01,mean,retrospective_oau,73,428,182,0.6828282828282828,0.03636363636363636
harmony,0.01,mean,OVERALL,181,428,182,0.6689895470383276,0.2642857142857143
champion,0.01,top3_mean,LASUTH,9,428,182,0.888888888888889,0.6666666666666666
champion,0.01,top3_mean,LUTH,15,428,182,1.0,1.0
champion,0.01,top3_mean,OAUTHC,64,428,182,0.5173453996983409,0.0
champion,0.01,top3_mean,UITH,10,428,182,0.7916666666666667,0.5
champion,0.01,top3_mean,retrospective_msk,10,428,182,0.4444444444444444,0.4444444444444444
champion,0.01,top3_mean,retrospective_oau,73,428,182,0.793939393939394,0.10909090909090909
champion,0.01,top3_mean,OVERALL,181,428,182,0.6926829268292682,0.25
harmony,0.01,top3_mean,LASUTH,9,428,182,0.7777777777777778,0.5
harmony,0.01,top3_mean,LUTH,15,428,182,0.6538461538461539,0.5384615384615384
harmony,0.01,top3_mean,OAUTHC,64,428,182,0.693815987933635,0.27450980392156865
harmony,0.01,top3_mean,UITH,10,428,182,0.41666666666666663,0.16666666666666666
harmony,0.01,top3_mean,retrospective_msk,10,428,182,0.7777777777777778,0.7777777777777778
harmony,0.01,top3_mean,retrospective_oau,73,428,182,0.6828282828282828,0.03636363636363636
harmony,0.01,top3_mean,OVERALL,181,428,182,0.6625435540069686,0.2642857142857143
champion,0.01,learned_lr,LASUTH,9,428,182,0.888888888888889,0.6666666666666666
champion,0.01,learned_lr,LUTH,15,428,182,0.9615384615384616,0.9230769230769231
champion,0.01,learned_lr,OAUTHC,64,428,182,0.4992458521870287,0.0
champion,0.01,learned_lr,UITH,10,428,182,0.625,0.0
champion,0.01,learned_lr,retrospective_msk,10,428,182,0.4444444444444444,0.4444444444444444
champion,0.01,learned_lr,retrospective_oau,73,428,182,0.805050505050505,0.07272727272727272
champion,0.01,learned_lr,OVERALL,181,428,182,0.6857142857142857,0.18571428571428572
harmony,0.01,learned_lr,LASUTH,9,428,182,0.5,0.0
harmony,0.01,learned_lr,LUTH,15,428,182,0.6538461538461539,0.5384615384615384
harmony,0.01,learned_lr,OAUTHC,64,428,182,0.698340874811463,0.3137254901960784
harmony,0.01,learned_lr,UITH,10,428,182,0.375,0.16666666666666666
harmony,0.01,learned_lr,retrospective_msk,10,428,182,0.7777777777777778,0.7777777777777778
harmony,0.01,learned_lr,retrospective_oau,73,428,182,0.611111111111111,0.0
harmony,0.01,learned_lr,OVERALL,181,428,182,0.6243902439024389,0.09285714285714286
champion,0.05,max_sqrtn,LASUTH,7,317,146,1.0,1.0
champion,0.05,max_sqrtn,LUTH,11,317,146,,
champion,0.05,max_sqrtn,OAUTHC,51,317,146,0.5317073170731708,0.024390243902439025
champion,0.05,max_sqrtn,UITH,7,317,146,0.5,0.5
champion,0.05,max_sqrtn,retrospective_msk,7,317,146,0.6666666666666667,0.6666666666666666
champion,0.05,max_sqrtn,retrospective_oau,56,317,146,0.8197278911564626,0.0
champion,0.05,max_sqrtn,OVERALL,139,317,146,0.6669973544973544,0.0625
harmony,0.05,max_sqrtn,LASUTH,7,317,146,0.16666666666666663,0.16666666666666666
harmony,0.05,max_sqrtn,LUTH,11,317,146,,
harmony,0.05,max_sqrtn,OAUTHC,51,317,146,0.5439024390243903,0.024390243902439025
harmony,0.05,max_sqrtn,UITH,7,317,146,0.16666666666666663,0.16666666666666666
harmony,0.05,max_sqrtn,retrospective_msk,7,317,146,0.6666666666666667,0.6666666666666666
harmony,0.05,max_sqrtn,retrospective_oau,56,317,146,0.6870748299319728,0.07142857142857142
harmony,0.05,max_sqrtn,OVERALL,139,317,146,0.5869708994708995,0.03571428571428571
champion,0.05,mean,LASUTH,7,317,146,1.0,1.0
champion,0.05,mean,LUTH,11,317,146,,
champion,0.05,mean,OAUTHC,51,317,146,0.4268292682926829,0.024390243902439025
champion,0.05,mean,UITH,7,317,146,0.5,0.5
champion,0.05,mean,retrospective_msk,7,317,146,0.6666666666666667,0.6666666666666666
champion,0.05,mean,retrospective_oau,56,317,146,0.7857142857142856,0.0
champion,0.05,mean,OVERALL,139,317,146,0.628968253968254,0.08035714285714286
harmony,0.05,mean,LASUTH,7,317,146,0.16666666666666663,0.16666666666666666
harmony,0.05,mean,LUTH,11,317,146,,
harmony,0.05,mean,OAUTHC,51,317,146,0.5829268292682926,0.024390243902439025
harmony,0.05,mean,UITH,7,317,146,0.16666666666666663,0.16666666666666666
harmony,0.05,mean,retrospective_msk,7,317,146,0.6666666666666667,0.6666666666666666
harmony,0.05,mean,retrospective_oau,56,317,146,0.7006802721088435,0.047619047619047616
harmony,0.05,mean,OVERALL,139,317,146,0.6011904761904762,0.044642857142857144
champion,0.05,top3_mean,LASUTH,7,317,146,1.0,1.0
champion,0.05,top3_mean,LUTH,11,317,146,,
champion,0.05,top3_mean,OAUTHC,51,317,146,0.4560975609756097,0.024390243902439025
champion,0.05,top3_mean,UITH,7,317,146,0.5,0.5
champion,0.05,top3_mean,retrospective_msk,7,317,146,0.6666666666666667,0.6666666666666666
champion,0.05,top3_mean,retrospective_oau,56,317,146,0.7857142857142856,0.0
champion,0.05,top3_mean,OVERALL,139,317,146,0.6352513227513227,0.08035714285714286
harmony,0.05,top3_mean,LASUTH,7,317,146,0.16666666666666663,0.16666666666666666
harmony,0.05,top3_mean,LUTH,11,317,146,,
harmony,0.05,top3_mean,OAUTHC,51,317,146,0.578048780487805,0.024390243902439025
harmony,0.05,top3_mean,UITH,7,317,146,0.16666666666666663,0.16666666666666666
harmony,0.05,top3_mean,retrospective_msk,7,317,146,0.6666666666666667,0.6666666666666666
harmony,0.05,top3_mean,retrospective_oau,56,317,146,0.6989795918367347,0.047619047619047616
harmony,0.05,top3_mean,OVERALL,139,317,146,0.5962301587301587,0.044642857142857144
champion,0.05,learned_lr,LASUTH,7,317,146,1.0,1.0
champion,0.05,learned_lr,LUTH,11,317,146,,
champion,0.05,learned_lr,OAUTHC,51,317,146,0.3829268292682927,0.0
champion,0.05,learned_lr,UITH,7,317,146,0.0,0.0
champion,0.05,learned_lr,retrospective_msk,7,317,146,0.6666666666666667,0.6666666666666666
champion,0.05,learned_lr,retrospective_oau,56,317,146,0.79421768707483,0.023809523809523808
champion,0.05,learned_lr,OVERALL,139,317,146,0.5912698412698413,0.05357142857142857
harmony,0.05,learned_lr,LASUTH,7,317,146,0.16666666666666663,0.16666666666666666
harmony,0.05,learned_lr,LUTH,11,317,146,,
harmony,0.05,learned_lr,OAUTHC,51,317,146,0.526829268292683,0.07317073170731707
harmony,0.05,learned_lr,UITH,7,317,146,0.0,0.0
harmony,0.05,learned_lr,retrospective_msk,7,317,146,0.6666666666666667,0.6666666666666666
harmony,0.05,learned_lr,retrospective_oau,56,317,146,0.6802721088435374,0.047619047619047616
harmony,0.05,learned_lr,OVERALL,139,317,146,0.552579365079365,0.07142857142857142
champion,0.10,max_sqrtn,LASUTH,5,262,123,1.0,1.0
