embedding,classifier,feat_eng,auroc_mean,auroc_std,auprc_mean,auprc_std
conch_v1.5_mean,lr,raw,0.6029614783154009,0.16984089302022445,0.29474919636057717,0.1032902489546787
conch_v1.5_mean,lr,pca100,0.5803029029699869,0.16237017226809813,0.2750625089081187,0.09353044069385229
conch_v1.5_mean,svm_rbf,raw,0.5653329903678056,0.21380743848117564,0.28271350347741714,0.10387685730666418
conch_v1.5_mean,svm_rbf,pca100,0.5653841461086165,0.21376067611237154,0.28271534153653255,0.10384177767019029
conch_v1.5_mean,rf,raw,0.5249186338107554,0.19561887992944313,0.25084012262873523,0.08703123714600744
conch_v1.5_mean,rf,pca100,0.5615266807406479,0.19745962401643963,0.2968473802750015,0.11972836374819656
conch_v1.5_mean,xgb,raw,0.5711683202734897,0.1780157293397145,0.2783491885717183,0.09579291364901463
conch_v1.5_mean,xgb,pca100,0.5730197366021882,0.1629876064989143,0.28397370449808484,0.09961652920143836
conch_v1.5_titan,lr,raw,0.5396662942549655,0.16686772428245836,0.27578941909454263,0.11092841296610843
conch_v1.5_titan,lr,pca100,0.5795070273543488,0.19513565862472837,0.30964439877865374,0.12125895166385102
conch_v1.5_titan,svm_rbf,raw,0.5061990399401161,0.18197905655296337,0.22122534723549,0.06662050997620243
conch_v1.5_titan,svm_rbf,pca100,0.5102148127004856,0.17861335527364552,0.22348095399429072,0.06467510741672577
conch_v1.5_titan,rf,raw,0.42652838016457045,0.17194893399025862,0.18475302794062892,0.04557033346382433
conch_v1.5_titan,rf,pca100,0.5326467796812233,0.1601681448147882,0.23753963385048033,0.09756813395463705
conch_v1.5_titan,xgb,raw,0.4700823665352193,0.17025859699463838,0.19937444622600484,0.05277753850407296
conch_v1.5_titan,xgb,pca100,0.5226816461714852,0.11045401089286441,0.2406239771921964,0.0755702864639123
ctranspath_mean,lr,raw,0.5610480416109536,0.21130567103129297,0.28967451220646,0.13854994125035003
ctranspath_mean,lr,pca100,0.5682879364329478,0.19215213566935727,0.27976239224656824,0.10175406576511754
ctranspath_mean,svm_rbf,raw,0.5800326777296873,0.16248674629896737,0.2968117042063655,0.1138067523887347
ctranspath_mean,svm_rbf,pca100,0.5811585833338528,0.1581542664584121,0.29522679829232346,0.1107579083893609
ctranspath_mean,rf,raw,0.5434598943835257,0.14519274477076508,0.2551467912136426,0.07414405045517136
ctranspath_mean,rf,pca100,0.5538263312339143,0.13062892099405737,0.2648695065156549,0.06477487404323251
ctranspath_mean,xgb,raw,0.5522200945988769,0.15663587608423257,0.26025164487166336,0.08338968645524109
ctranspath_mean,xgb,pca100,0.5333754703775436,0.12167860619260648,0.23915248304033426,0.048594654984997765
uni2_mean,lr,raw,0.5514939971002326,0.203528435705923,0.2966146772755507,0.1323371238611697
uni2_mean,lr,pca100,0.5752653071561868,0.15817190859932037,0.26955582742531786,0.09323950321068229
uni2_mean,svm_rbf,raw,0.5314729047561014,0.22430585291729394,0.2813094385705498,0.11566970407699399
uni2_mean,svm_rbf,pca100,0.5231002478851952,0.2245582364759798,0.26240904202339005,0.09842288286937105
uni2_mean,rf,raw,0.4972756441601181,0.22146809157387815,0.22222367853095668,0.06097167817349955
uni2_mean,rf,pca100,0.5085477367606673,0.23304428448183445,0.2551906175238713,0.09503755586920377
uni2_mean,xgb,raw,0.5491003825065085,0.1847104581732183,0.2318862404598499,0.06437897951826747
uni2_mean,xgb,pca100,0.4987405728362561,0.23882809147837938,0.2625461084053861,0.10883023768524278
virchow2_mean,lr,raw,0.5782404994357584,0.14094523000684892,0.2624439039927461,0.07370762906852212
virchow2_mean,lr,pca100,0.5657152930456665,0.15157218064521683,0.254999194666123,0.07066419933515758
virchow2_mean,svm_rbf,raw,0.5758199093530718,0.14621168434060236,0.30823657033208524,0.12657354326476153
virchow2_mean,svm_rbf,pca100,0.5634903480673817,0.14311194792635046,0.297531055098184,0.1262750674377053
virchow2_mean,rf,raw,0.524108496682577,0.1571278858679752,0.24662440534600263,0.09380021361725895
virchow2_mean,rf,pca100,0.562543037982483,0.166706319431927,0.3071298622423617,0.1384193012517816
virchow2_mean,xgb,raw,0.5468726856364503,0.13717897975733584,0.23820155730685463,0.058889306954657016
virchow2_mean,xgb,pca100,0.5287805762866885,0.2032375832732181,0.3046056471748949,0.1516162708408921
virchow2_prism,lr,raw,0.5305914826334565,0.15017565740688793,0.2471687484749061,0.08474822762836276
virchow2_prism,lr,pca100,0.5060814655253015,0.10563407670888517,0.2009305970978302,0.04127004604196863
virchow2_prism,svm_rbf,raw,0.5290579603144393,0.13942376464292058,0.2236714265065196,0.06756042044428291
virchow2_prism,svm_rbf,pca100,0.5269633429531331,0.13753345606869677,0.22045929623750063,0.06523475326767553
virchow2_prism,rf,raw,0.5276803001374656,0.1454866014191424,0.21400735576559038,0.061560321024009004
virchow2_prism,rf,pca100,0.47762314751508333,0.13865117689576553,0.2046404096527575,0.05429263202245617
virchow2_prism,xgb,raw,0.5199828682020088,0.12269366559239493,0.2161762760960749,0.0542593977796873
virchow2_prism,xgb,pca100,0.4775498953227942,0.10532856153547873,0.20425904765296532,0.06424970873347381
