scorer,primary_variant,resolution,needs_training_on_our_data,patient_aggregation,n_patients_dirty,n_patients_clean,patient_auroc_dirty,patient_auroc_clean,primary_auroc_ci_low,primary_auroc_ci_high,primary_patient_coverage,comparable_primary,confirmatory_valid,validation_design,primary_score_source,slide_auroc_dirty,slide_auroc_clean,spec_at_sens90,spec_at_sens95,spec_at_sens96,npv_at_sens95,n_patients_qc_sensitivity,patient_auroc_qc_sensitivity,qc_sensitivity_score_source
calibrated_pool,max_over_sqrtn,patient,False,native,217,217,0.7166458072590739,0.7166458072590739,0.630531914893617,0.7992615769712139,1.0,True,True,pretrained_or_fixed,recomputed,,,0.15294117647058825,0.1411764705882353,0.08235294117647059,0.9230769230769231,181.0,0.7127177700348433,recomputed
wagner_zeroshot,p_msih,slide,False,max_sqrtn,217,217,0.7166458072590739,0.7166458072590739,0.630531914893617,0.7992615769712139,1.0,True,True,pretrained_or_fixed,cache,0.571698717307346,0.571698717307346,0.15294117647058825,0.1411764705882353,0.08235294117647059,0.9230769230769231,181.0,0.7127177700348433,recomputed
vl_text_cosine,tile_max,slide,False,max_sqrtn,217,217,0.597747183979975,0.597747183979975,0.5091270337922402,0.6916301627033792,1.0,True,True,pretrained_or_fixed,cache,0.5563604346347029,0.5563604346347029,0.12941176470588237,0.06470588235294118,0.03529411764705882,0.8461538461538461,181.0,0.5634146341463415,recomputed
transductive_smoothing,smooth_max,slide,False,max_sqrtn,217,217,0.5824780976220275,0.5824780976220275,0.4946182728410513,0.6746026282853568,1.0,True,True,pretrained_or_fixed,cache,0.5366297800812438,0.5366297800812438,0.15294117647058825,0.1411764705882353,0.052941176470588235,0.9230769230769231,181.0,0.5508710801393728,recomputed
nested_linear_probe,p_msih,slide,True,mean,217,217,0.5296620775969961,0.5296620775969961,0.42888610763454316,0.6356727158948685,1.0,True,True,nested_patient_grouped,cache,0.5368599043483481,0.5368599043483481,0.041176470588235294,0.03529411764705882,0.029411764705882353,0.75,,,
selective_abstention,p_msih,patient,False,native,217,217,0.7166458072590739,0.7166458072590739,0.630531914893617,0.7992615769712139,1.0,True,False,pretrained_or_fixed,cache,,,0.15294117647058825,0.1411764705882353,0.08235294117647059,0.9230769230769231,181.0,0.7127177700348433,recomputed
harmony_probe,p_msih,slide,True,mean,217,217,0.6067584480600751,0.6067584480600751,0.5161357947434293,0.6977503128911139,1.0,True,False,historical_non_nested,cache,0.5727813852813852,0.5727813852813852,0.1,0.052941176470588235,0.0058823529411764705,0.8181818181818182,,,
batch_corrected_probe,p_msih,slide,True,max_sqrtn,217,217,0.5854818523153942,0.5854818523153942,0.49122653316645815,0.6797465581977471,1.0,True,False,historical_non_nested,cache,0.5733726150392817,0.5733726150392817,0.14705882352941177,0.01764705882352941,0.011764705882352941,0.6,,,
fusion_top3,p_msih,patient,True,native,181,181,0.7033101045296167,0.7033101045296167,0.614455574912892,0.7890331010452961,0.8341013824884793,False,False,historical_non_nested,historical_partial_cache,,,0.32857142857142857,0.10714285714285714,0.04285714285714286,0.8823529411764706,181.0,0.7033101045296167,cache
simple_grid,p_msih,slide,True,max_sqrtn,181,181,0.6559233449477352,0.6559233449477352,0.5686367595818815,0.742177700348432,0.8341013824884793,False,False,historical_non_nested,historical_partial_cache,0.6588245980561359,0.6588245980561359,0.2857142857142857,0.2642857142857143,0.2357142857142857,0.9487179487179487,181.0,0.6559233449477352,cache
