scorer,site,n,prevalence,auroc
calibrated_pool,LASUTH,11,0.2727272727272727,0.9166666666666666
calibrated_pool,LUTH,16,0.125,1.0
calibrated_pool,OAUTHC,67,0.19402985074626866,0.5712250712250713
calibrated_pool,UITH,10,0.4,0.75
calibrated_pool,retrospective_msk,94,0.2127659574468085,0.7824324324324324
nuclear_morphology,LASUTH,9,0.3333333333333333,0.4444444444444444
nuclear_morphology,LUTH,16,0.125,0.25
nuclear_morphology,OAUTHC,67,0.19402985074626866,0.51994301994302
nuclear_morphology,UITH,10,0.4,0.5416666666666666
nuclear_morphology,retrospective_msk,94,0.2127659574468085,0.5405405405405406
score_fusion,LASUTH,11,0.2727272727272727,0.5833333333333333
score_fusion,LUTH,16,0.125,0.32142857142857145
score_fusion,OAUTHC,67,0.19402985074626866,0.5512820512820513
score_fusion,UITH,10,0.4,0.41666666666666663
score_fusion,retrospective_msk,11,0.09090909090909091,0.8
score_fusion,retrospective_oau,83,0.2289156626506024,0.6652960526315791
slide_attention_mil,LASUTH,11,0.2727272727272727,0.875
slide_attention_mil,LUTH,16,0.125,0.9285714285714286
slide_attention_mil,OAUTHC,67,0.19402985074626866,0.4672364672364672
slide_attention_mil,UITH,10,0.4,0.625
slide_attention_mil,retrospective_msk,94,0.2127659574468085,0.7905405405405406
transductive_smoothing,LASUTH,11,0.2727272727272727,0.41666666666666663
transductive_smoothing,LUTH,16,0.125,0.10714285714285715
transductive_smoothing,OAUTHC,67,0.19402985074626866,0.5170940170940171
transductive_smoothing,UITH,10,0.4,0.5833333333333334
transductive_smoothing,retrospective_msk,94,0.2127659574468085,0.6425675675675675
vl_text_cosine,LASUTH,11,0.2727272727272727,0.24999999999999997
vl_text_cosine,LUTH,16,0.125,0.14285714285714285
vl_text_cosine,OAUTHC,67,0.19402985074626866,0.5754985754985754
vl_text_cosine,UITH,10,0.4,0.4166666666666667
vl_text_cosine,retrospective_msk,94,0.2127659574468085,0.6263513513513513
wagner_zeroshot,LASUTH,11,0.2727272727272727,0.9166666666666666
wagner_zeroshot,LUTH,16,0.125,1.0
wagner_zeroshot,OAUTHC,67,0.19402985074626866,0.5712250712250713
wagner_zeroshot,UITH,10,0.4,0.75
wagner_zeroshot,retrospective_msk,94,0.2127659574468085,0.7824324324324324
