slide_id,start,length
1053-23-2,0,1024
1210-2-16,1024,1024
1210-3-16,2048,1024
1210-4-16,3072,1024
B-1650-4-23,4096,1024
B1096_22_MSI.pyramidal,5120,863
B22_3700_MSI.pyramidal,5983,1024
B2581_22_MSI.pyramidal,7007,1024
H-04-5-22,8031,1024
H-1137-21,9055,1024
H-1236-B-21,10079,1024
H-147-1-22,11103,1024
H-147-2-22,12127,1024
H-147-3-22,13151,1024
H-147-4-22,14175,1024
H-147-5-22,15199,1024
H-160-B-21,16223,1024
H-1628-A1-22,17247,1024
H-1628-A2-22,18271,1024
H-1628-A3-22,19295,1024
H-1628-A4-22,20319,1024
H-1628-B10-22,21343,1024
H-1628-B11-22,22367,1024
H-1628-B13-22,23391,1024
H-1628-B14-22,24415,1024
H-1628-B15-22-A,25439,1024
H-1628-B16-22,26463,1024
H-1628-B17-22,27487,1024
H-1628-B18-22,28511,1024
H-1628-B18-22-A,29535,1024
H-1628-B2-22,30559,1024
H-1628-B3-22,31583,1024
H-1628-B6-22,32607,1024
H-1628-B8-22,33631,1024
H-1628-EX5-22,34655,1024
H-1641-A-22,35679,922
H-1641-A-22-B,36601,966
H-1709-21,37567,1024
H-1709-21-1,38591,1024
H-208-2-22,39615,1024
H-208-3-22,40639,1024
H-217-B-23,41663,825
H-269-22,42488,530
H-269-22-1,43018,534
H-350-1-22,43552,1024
H-350-2-22,44576,1024
H-350-3-22,45600,1024
H-350-4-22,46624,1024
H-350-5-22,47648,1024
H-353-1-22,48672,1024
H-353-1-22-B,49696,1024
H-353-2-22,50720,1024
H-353-2-22-B,51744,1024
H-353-3-22,52768,1024
H-353-4-22,53792,1024
H-353-5-22,54816,1024
H-503-23-10A,55840,1024
H-503-23-10B,56864,1024
H-503-23-11A,57888,1024
H-503-23-11B,58912,1024
H-503-23-14A,59936,1024
H-503-23-14A-1,60960,1024
H-503-23-15A,61984,1024
H-503-23-15A-1,63008,1024
H-503-23-18A,64032,1024
H-503-23-19A,65056,1024
H-503-23-20A,66080,1024
H-503-23-2B1,67104,1024
H-503-23-3B,68128,1024
H-503-23-7B,69152,1024
H-503-23-8B,70176,1024
H-503-23-9B,71200,1024
H-503-23-A1,72224,1024
H-503-23-A2,73248,1024
H-503-23-B1,74272,1024
H-503-23-B12,75296,1024
H-503-23-B12-1,76320,1024
H-503-23-B5,77344,1024
H-503-23-B5-1,78368,1024
H-503-23-B5-2,79392,1024
H-707-7-21,80416,1024
H-712-22,81440,936
H-720-22,82376,1024
H-7677-A-GIEMSA,83400,1024
H-7677-B-22,84424,731
H-7677-B-22-GIEMSA,85155,211
H-7677-C-22,85366,776
H-7677-C-22-GIEMSA,86142,655
H-905V -3-22,86797,1024
H1006-21,87821,1024
H1053-23-1,88845,1024
H1053-23-1-1,89869,1024
H1053-23-2,90893,1024
H1055-21-R,91917,1024
H1079-22-1,92941,1024
H1079-22-10,93965,975
H1079-22-11,94940,1024
H1079-22-12,95964,1024
H1079-22-13,96988,1024
H1079-22-17,98012,479
H1079-22-18,98491,692
H1079-22-19,99183,1024
H1079-22-2,100207,1024
H1079-22-2-1,101231,1024
H1079-22-20,102255,843
H1079-22-21,103098,1024
H1079-22-27,104122,1024
H1079-22-3,105146,1024
H1079-22-4,106170,1024
H1079-22-5,107194,1024
H1079-22-6,108218,1024
H1079-22-7,109242,1024
H1079-22-8,110266,1024
H1079-22-9,111290,1024
H1085-23,112314,822
H1175-21-A1,113136,1024
H1175-21-A10,114160,1024
H1175-21-A11,115184,1024
H1175-21-A12,116208,1024
H1175-21-A13,117232,1024
H1175-21-A14,118256,1024
