candidate_id,description,status,n_patients,patient_auroc,ci_low,ci_high,delta_vs_w1_0,delta_ci_low,delta_ci_high,probability_delta_le_zero,delta_vs_w1_0c,delta_vs_w1_0c_ci_low,delta_vs_w1_0c_ci_high,spec_at_sens95,spec_at_sens96,oauthc_auroc,trainable_parameters,outer_gpu_hours,developmental,note,passes_oauthc_gate,passes_high_sensitivity_gate,passes_overall_gate,eligible_for_lock_review
W1-0,Frozen external Wagner/CTransPath reference,complete,217.0,0.7166458072590739,0.630531914893617,0.7992615769712139,0.0,0.0,0.0,,0.02352941176470591,-0.0001282853566959145,0.051955569461827174,0.1411764705882353,0.08235294117647059,0.6158088235294117,0.0,0.0,False,,True,True,True,True
W1-0c,Frozen Wagner on deterministic 1024-tile reservoirs,complete,217.0,0.693116395494368,0.6050062578222779,0.7785982478097622,-0.02352941176470591,-0.05195556946182726,0.0001282853566958976,0.974,0.0,0.0,0.0,0.11176470588235295,0.047058823529411764,0.5726102941176471,0.0,,False,,False,False,False,False
W1-1,Warm-started Wagner final normalization and MSI head,complete,217.0,0.6057571964956195,0.511761576971214,0.6996307884856071,-0.11088861076345435,-0.18411764705882358,-0.033538798498122635,0.998,-0.08735919899874844,-0.15471214017521906,-0.015747809762202847,0.08235294117647059,0.06470588235294118,0.5284926470588235,2561.0,0.10661827587884748,True,,False,False,False,False
W1-2,Warm-started Wagner second transformer block and MSI head,complete,217.0,0.6026908635794743,0.511636420525657,0.6981320400500626,-0.11395494367959957,-0.18568366708385498,-0.0484324155193992,1.0,-0.09042553191489366,-0.15363423028785972,-0.03028160200250329,0.11764705882352941,0.08235294117647059,0.4963235294117648,1579009.0,0.11513692260098954,True,,False,False,False,False
W1-3,"Warm-started full Wagner projection, transformer, CLS token, and head",complete,217.0,0.6525031289111389,0.5610090738423029,0.741741239048811,-0.06414267834793497,-0.14781914893617032,0.012898936170212571,0.945,-0.04061326658322906,-0.12916927409261578,0.041816332916145206,0.17647058823529413,0.058823529411764705,0.6011029411764706,3549697.0,0.0522386948340055,True,,True,True,False,False
W1-4,Compact gated-attention MIL over frozen CTransPath tiles,complete,217.0,0.5283479349186484,0.43184918648310394,0.6207822277847309,-0.1882978723404255,-0.2889299123904881,-0.08852628285356694,1.0,-0.1647684605757196,-0.2637124530663328,-0.06500782227784743,0.08823529411764706,0.047058823529411764,0.6066176470588235,263554.0,0.01904911868662263,True,,True,False,False,False
W1-5,Fixed-query cross-attention pooler over frozen CTransPath tiles,complete,217.0,0.5357321652065081,0.4434277221526909,0.628976846057572,-0.18091364205256577,-0.29042866082603247,-0.06633135168961188,0.9995,-0.15738423028785986,-0.2672340425531915,-0.04248904881101387,0.12941176470588237,0.12941176470588237,0.6047794117647058,464385.0,0.02290589573405062,True,,True,False,False,False
W1-6,Residual feature adapter plus warm-started Wagner final block,complete,217.0,0.6612640801001252,0.5766505006257823,0.7446214017521902,-0.055381727158948735,-0.1317349812265332,0.015208072590738336,0.9355,-0.031852315394242825,-0.1060168961201502,0.04056163954943657,0.13529411764705881,0.10588235294117647,0.6185661764705882,1679681.0,0.05074072296084422,True,,True,False,False,False
W1-8,Last-stage CTransPath LoRA,blocked_current_torchscript,,,,,,,,,,,,,,,,,True,"Current LazySlide CTransPath weights are a RecursiveScriptModule, which cannot accept module replacement or forward hooks. Rehydrate the checkpoint into an eager architecture after transition.",,,,
W1-7,CTransPath BitFit/normalization plus full warm-started Wagner,complete,217.0,0.633729662077597,0.5499374217772216,0.7234058197747183,-0.08291614518147694,-0.16176783479349197,-0.0033776595744680923,0.978,-0.05938673341677103,-0.13460575719649548,0.021156132665832248,0.14705882352941177,0.1411764705882353,0.5091911764705883,3614341.0,0.1415624859282333,True,,False,True,False,False
W1-9,CTransPath final stage plus full warm-started Wagner,complete,217.0,0.6254693366708386,0.5407947434292866,0.7150860450563205,-0.0911764705882353,-0.17491082603254082,-0.004996871088861097,0.984,-0.0676470588235294,-0.14605757196495606,0.015040675844805904,0.11176470588235295,0.10588235294117647,0.5174632352941176,17735089.0,0.14200945694305522,True,,False,False,False,False
