slide_id,start,length,reservoir_positions,source_tile_indices
1053-23-2,0,8,"[75, 220, 497, 617, 720, 750, 823, 1023]","[99, 308, 709, 895, 1044, 1088, 1190, 1472]"
1210-2-16,8,8,"[81, 137, 316, 395, 450, 611, 819, 923]","[385, 647, 1478, 1873, 2129, 2836, 3784, 4254]"
1210-3-16,16,8,"[150, 546, 699, 705, 862, 877, 898, 934]","[545, 2036, 2575, 2587, 3214, 3267, 3366, 3534]"
1210-4-16,24,8,"[33, 252, 254, 266, 330, 889, 938, 960]","[55, 422, 427, 442, 544, 1460, 1540, 1577]"
B-1650-4-23,32,8,"[101, 166, 201, 246, 251, 353, 379, 978]","[451, 769, 996, 1181, 1210, 1719, 1864, 4877]"
B1096_22_MSI.pyramidal,40,8,"[31, 114, 273, 304, 508, 543, 628, 842]","[31, 114, 273, 304, 508, 543, 628, 842]"
B22_3700_MSI.pyramidal,48,8,"[110, 262, 360, 572, 631, 816, 1008, 1018]","[1481, 3352, 4651, 7445, 8169, 10453, 12781, 12985]"
B2581_22_MSI.pyramidal,56,8,"[26, 38, 638, 692, 703, 805, 954, 1004]","[77, 106, 1880, 2046, 2070, 2333, 2770, 2917]"
H-04-5-22,64,8,"[19, 45, 106, 371, 372, 614, 729, 933]","[372, 806, 1584, 5545, 5551, 9324, 11041, 14042]"
H-1137-21,72,8,"[109, 262, 372, 412, 429, 496, 530, 628]","[162, 423, 629, 689, 720, 836, 896, 1063]"
H-1236-B-21,80,8,"[24, 56, 175, 201, 228, 357, 634, 902]","[26, 59, 186, 212, 239, 372, 662, 952]"
H-147-1-22,88,8,"[46, 179, 448, 454, 645, 697, 767, 781]","[288, 1071, 2568, 2596, 3770, 4061, 4473, 4556]"
H-147-2-22,96,8,"[11, 92, 319, 358, 361, 687, 734, 1008]","[75, 747, 2682, 3042, 3060, 5731, 6162, 8266]"
H-147-3-22,104,8,"[23, 32, 33, 38, 280, 363, 366, 378]","[194, 283, 289, 343, 2646, 3556, 3563, 3692]"
H-147-4-22,112,8,"[301, 311, 430, 528, 560, 861, 970, 1022]","[3921, 4069, 5571, 6728, 7256, 11566, 13037, 13835]"
H-147-5-22,120,8,"[144, 164, 212, 434, 456, 520, 923, 968]","[1140, 1279, 1604, 3723, 3949, 4598, 8108, 8455]"
H-160-B-21,128,8,"[106, 143, 153, 412, 586, 779, 794, 987]","[473, 656, 701, 1814, 2581, 3423, 3488, 4346]"
H-1628-A1-22,136,8,"[50, 63, 65, 206, 356, 597, 952, 1016]","[506, 711, 732, 1993, 3837, 6285, 9602, 10254]"
H-1628-A2-22,144,8,"[44, 284, 504, 530, 663, 821, 835, 864]","[298, 2252, 3844, 4042, 5015, 6099, 6199, 6469]"
H-1628-A3-22,152,8,"[20, 358, 524, 611, 714, 764, 834, 880]","[200, 3008, 4360, 5107, 5908, 6365, 6980, 7281]"
H-1628-A4-22,160,8,"[85, 279, 465, 614, 655, 714, 845, 870]","[903, 2918, 5012, 6741, 7254, 7966, 9508, 9782]"
H-1628-B10-22,168,8,"[52, 100, 244, 334, 495, 803, 933, 954]","[170, 311, 804, 1081, 1646, 2818, 3249, 3332]"
H-1628-B11-22,176,8,"[18, 52, 105, 240, 270, 415, 690, 992]","[68, 253, 536, 1153, 1314, 2108, 3365, 4768]"
H-1628-B13-22,184,8,"[19, 78, 112, 449, 467, 771, 826, 864]","[133, 621, 911, 3720, 3918, 6460, 6973, 7288]"
H-1628-B14-22,192,8,"[8, 27, 667, 699, 755, 838, 876, 981]","[47, 202, 4061, 4301, 4633, 5251, 5490, 6032]"
H-1628-B15-22-A,200,8,"[240, 277, 328, 336, 378, 605, 722, 835]","[3681, 4123, 4803, 4913, 5491, 8446, 9945, 11230]"
H-1628-B16-22,208,8,"[14, 379, 424, 429, 438, 481, 830, 992]","[124, 3576, 3953, 4005, 4074, 4374, 7504, 8857]"
H-1628-B17-22,216,8,"[25, 138, 327, 657, 792, 831, 860, 976]","[83, 561, 1306, 2586, 3175, 3322, 3450, 3943]"
H-1628-B18-22,224,8,"[92, 107, 274, 277, 330, 399, 547, 729]","[616, 710, 1860, 1879, 2171, 2507, 3306, 4479]"
H-1628-B18-22-A,232,8,"[602, 713, 768, 828, 840, 888, 981, 1001]","[4180, 4957, 5349, 5734, 5795, 6157, 6721, 6862]"
H-1628-B2-22,240,8,"[318, 570, 614, 660, 669, 679, 853, 956]","[1103, 2029, 2168, 2305, 2331, 2352, 2993, 3342]"
H-1628-B3-22,248,8,"[266, 293, 301, 344, 438, 470, 529, 603]","[1159, 1269, 1295, 1467, 1803, 1890, 2154, 2482]"
H-1628-B6-22,256,8,"[14, 82, 129, 187, 244, 724, 904, 1013]","[66, 314, 506, 751, 1048, 3010, 3875, 4411]"
H-1628-B8-22,264,8,"[126, 289, 355, 403, 698, 712, 713, 956]","[341, 775, 957, 1121, 1964, 2009, 2012, 2715]"
H-1628-EX5-22,272,8,"[154, 360, 581, 636, 656, 801, 873, 882]","[369, 855, 1364, 1490, 1531, 1880, 2061, 2082]"
H-1641-A-22,280,8,"[316, 347, 410, 604, 684, 752, 802, 905]","[316, 347, 410, 604, 684, 752, 802, 905]"
H-1641-A-22-B,288,8,"[174, 432, 435, 607, 683, 828, 960, 961]","[174, 432, 435, 607, 683, 828, 960, 961]"
H-1709-21,296,8,"[265, 314, 420, 515, 767, 828, 868, 983]","[312, 370, 493, 605, 892, 962, 1006, 1130]"
H-1709-21-1,304,8,"[148, 183, 277, 377, 387, 724, 748, 787]","[170, 215, 323, 439, 450, 862, 888, 929]"
H-208-2-22,312,8,"[18, 173, 368, 676, 769, 899, 932, 947]","[144, 1860, 3958, 7200, 8149, 9589, 9887, 10053]"
H-208-3-22,320,8,"[112, 351, 546, 617, 813, 894, 955, 1020]","[1496, 4080, 6449, 7147, 9406, 10389, 11135, 11865]"
H-217-B-23,328,8,"[58, 90, 283, 464, 478, 596, 717, 749]","[58, 90, 283, 464, 478, 596, 717, 749]"
H-269-22,336,8,"[7, 13, 16, 315, 329, 365, 444, 522]","[7, 13, 16, 315, 329, 365, 444, 522]"
H-269-22-1,344,8,"[10, 130, 150, 181, 237, 244, 421, 525]","[10, 130, 150, 181, 237, 244, 421, 525]"
H-350-1-22,352,8,"[17, 208, 406, 452, 509, 534, 551, 697]","[80, 909, 1682, 1822, 2044, 2163, 2207, 2953]"
H-350-2-22,360,8,"[21, 175, 255, 474, 481, 605, 729, 769]","[75, 646, 948, 1650, 1680, 2067, 2543, 2666]"
H-350-3-22,368,8,"[86, 89, 221, 326, 594, 670, 672, 970]","[563, 588, 1444, 2137, 3819, 4306, 4316, 6130]"
H-350-4-22,376,8,"[31, 97, 290, 492, 625, 674, 693, 907]","[79, 265, 802, 1396, 1731, 1866, 1916, 2494]"
H-350-5-22,384,8,"[37, 64, 99, 468, 568, 691, 797, 887]","[158, 260, 343, 1989, 2458, 3016, 3465, 3855]"
H-353-1-22,392,8,"[90, 213, 393, 711, 759, 769, 862, 995]","[476, 1053, 1981, 3522, 3755, 3819, 4234, 4861]"
H-353-1-22-B,400,8,"[221, 240, 262, 332, 445, 487, 661, 983]","[1236, 1346, 1454, 1856, 2494, 2762, 3747, 5486]"
H-353-2-22,408,8,"[603, 684, 703, 719, 818, 919, 927, 945]","[5218, 5845, 6005, 6181, 6934, 7642, 7738, 7915]"
H-353-2-22-B,416,8,"[19, 229, 264, 304, 552, 666, 780, 917]","[219, 2261, 2677, 2978, 5618, 6759, 7914, 9222]"
H-353-3-22,424,8,"[62, 388, 421, 429, 500, 607, 809, 899]","[699, 6014, 6535, 6596, 7620, 9323, 12156, 13501]"
H-353-4-22,432,8,"[92, 256, 282, 381, 705, 735, 890, 979]","[1663, 4273, 4703, 6363, 11573, 12135, 14701, 15908]"
H-353-5-22,440,8,"[115, 283, 295, 459, 470, 611, 698, 736]","[925, 2353, 2432, 3919, 3993, 4970, 5689, 6033]"
H-503-23-10A,448,8,"[215, 260, 512, 644, 658, 895, 950, 980]","[1914, 2408, 4769, 5858, 5991, 8086, 8583, 8846]"
H-503-23-10B,456,8,"[121, 125, 145, 260, 294, 434, 435, 689]","[1653, 1742, 1986, 3530, 4136, 5789, 5807, 8839]"
H-503-23-11A,464,8,"[446, 455, 489, 588, 614, 762, 766, 827]","[3328, 3373, 3647, 4273, 4503, 5496, 5526, 6045]"
H-503-23-11B,472,8,"[140, 323, 425, 490, 514, 534, 541, 810]","[289, 701, 930, 1051, 1087, 1121, 1132, 1655]"
H-503-23-14A,480,8,"[42, 230, 392, 460, 468, 732, 854, 961]","[307, 1590, 2737, 3253, 3283, 5025, 5803, 6633]"
H-503-23-14A-1,488,8,"[20, 242, 376, 654, 784, 802, 834, 835]","[55, 782, 1251, 2291, 2756, 2813, 2928, 2930]"
