embedding,classifier,representation,n_slides,n_patients,slide_auroc,patient_auroc
conch_v1.5_titan,logistic_regression,raw,428,181,0.6194931419747479,0.6461672473867596
virchow2_prism,logistic_regression,raw,428,181,0.6066551609289369,0.6425087108013938
conch_v1.5_mean,xgboost,pca100,428,181,0.5881551457898083,0.6357142857142858
conch_v1.5_titan,logistic_regression,pca100,428,181,0.6301813667605293,0.6249128919860627
ctranspath_mean,xgboost,pca100,428,181,0.5455233596754171,0.6090592334494774
conch_v1.5_mean,logistic_regression,raw,428,181,0.6101371605050414,0.6076655052264808
conch_v1.5_mean,random_forest,raw,428,181,0.5586944015502467,0.601829268292683
uni2_mean,logistic_regression,pca100,428,181,0.620552880976171,0.5998257839721254
conch_v1.5_mean,logistic_regression,pca100,428,181,0.6101068822478578,0.5986062717770034
virchow2_prism,xgboost,pca100,428,181,0.5814333726950677,0.5925087108013938
virchow2_mean,logistic_regression,raw,428,181,0.6133163775093107,0.5881533101045296
uni2_mean,logistic_regression,raw,428,181,0.5917885366518303,0.5815331010452962
virchow2_prism,xgboost,raw,428,181,0.523299118902716,0.5803135888501743
virchow2_mean,random_forest,pca100,428,181,0.5776031731613529,0.5794425087108014
conch_v1.5_titan,xgboost,pca100,428,181,0.5262058315923335,0.5778745644599302
conch_v1.5_titan,random_forest,pca100,428,181,0.5756805038301994,0.5770034843205575
virchow2_prism,random_forest,raw,428,181,0.5300965876404155,0.5763066202090592
virchow2_mean,xgboost,pca100,428,181,0.5610561056105611,0.5733449477351917
ctranspath_mean,random_forest,pca100,428,181,0.5151542677203499,0.5721254355400698
virchow2_mean,logistic_regression,pca100,428,181,0.6110152299633634,0.5674216027874565
conch_v1.5_mean,xgboost,raw,428,181,0.5464317073909226,0.5672473867595819
virchow2_mean,xgboost,raw,428,181,0.524479970932873,0.5639372822299652
conch_v1.5_mean,random_forest,pca100,428,181,0.5282496139522208,0.5572299651567945
ctranspath_mean,logistic_regression,pca100,428,181,0.5849153722711721,0.5536585365853658
virchow2_prism,logistic_regression,pca100,428,181,0.554546280316105,0.5388501742160279
virchow2_prism,random_forest,pca100,428,181,0.5649165834014594,0.5340592334494774
ctranspath_mean,logistic_regression,raw,428,181,0.5571199321767039,0.533623693379791
ctranspath_mean,xgboost,raw,428,181,0.5631453053562236,0.5320557491289198
ctranspath_mean,random_forest,raw,428,181,0.5424955339570655,0.5230836236933797
uni2_mean,xgboost,raw,428,181,0.5056166167075423,0.5163763066202091
uni2_mean,random_forest,pca100,428,181,0.4896751143004209,0.5162020905923345
conch_v1.5_titan,random_forest,raw,428,181,0.4337663124110577,0.5155923344947735
uni2_mean,xgboost,pca100,428,181,0.47751839404123897,0.49982578397212546
virchow2_mean,random_forest,raw,428,181,0.4580494746722378,0.4986062717770035
conch_v1.5_titan,xgboost,raw,428,181,0.4365216338147576,0.47909407665505227
uni2_mean,random_forest,raw,428,181,0.4755957247100857,0.47613240418118463
